1	3	48.213657	21.938277	94.754457	22.080573	0.497468	0.843939	0.821042	0.596399	0.240679	3.000000	0.011951	10.378859	5.000000	0.017609	3.321411	4.000000	86.065455	2.653507	1.000000	0.048004	58.212109	1.000000	0.017514	4.154842	4.000000	73.848282	2.414299	2.000000	0.012776	3.003991	5.000000	0.102738
2	2	71.264187	46.967945	61.267493	40.056606	0.414935	0.685669	0.226975	0.654800	1.508413	5.000000	0.023293	52.992418	3.000000	0.010142	1.282676	6.000000	30.704705	1.337335	2.000000	0.021905	4.867305	3.000000	0.011238	0.524259	1.000000	48.291669	2.018876	4.000000	0.012995	2.715882	1.000000	0.011464
3	2	64.205878	63.482630	16.152181	38.235908	0.857439	0.629583	0.106882	0.432145	2.919103	5.000000	0.015968	1.826258	3.000000	0.022696	4.680811	1.000000	80.263172	0.176876	5.000000	0.030405	31.750858	2.000000	0.012483	4.468637	6.000000	42.164037	3.304738	4.000000	0.016506	2.779111	3.000000	0.013360
4	2	73.160870	85.151272	89.905244	30.368099	0.278894	0.140793	0.983215	0.800814	2.358340	2.000000	0.020635	48.926089	3.000000	0.030423	2.151333	2.000000	90.990331	0.896071	1.000000	0.081519	34.102471	6.000000	0.014733	3.720070	5.000000	34.889954	0.532342	3.000000	0.017109	0.267822	4.000000	0.317460
5	2	31.911286	29.771443	40.462829	38.756097	0.870005	0.457113	0.375246	0.888583	4.549473	2.000000	0.022682	26.969816	6.000000	0.022448	4.505254	5.000000	40.050810	3.218567	1.000000	0.078727	26.834373	2.000000	0.010416	3.511279	2.000000	22.022126	2.066154	6.000000	0.066263	1.389818	2.000000	0.014372
6	2	73.406957	78.252317	96.953339	31.055070	0.136481	0.189618	0.187874	0.689121	3.898721	2.000000	0.012437	47.944622	1.000000	0.036450	1.282217	6.000000	15.281454	0.951205	6.000000	0.017962	0.939849	5.000000	0.391219	1.950233	2.000000	34.109240	2.397190	3.000000	0.011444	3.229689	3.000000	0.016197
7	2	98.344285	76.639606	13.583941	44.644268	0.594738	0.655909	0.757863	0.694017	0.626023	5.000000	0.068923	13.779661	5.000000	0.314925	1.004634	3.000000	82.294425	0.429575	4.000000	0.046195	36.288771	1.000000	0.053918	1.434687	1.000000	88.519901	3.742756	6.000000	0.012129	0.916476	6.000000	0.026028
8	3	92.364364	99.797832	28.777416	12.968620	0.829422	0.821409	0.522887	0.245200	2.837473	6.000000	0.027016	6.855759	5.000000	0.016905	0.094116	5.000000	65.733632	2.785965	1.000000	0.011144	53.099518	5.000000	0.015062	3.802434	6.000000	97.105218	2.461012	3.000000	0.011623	0.205818	4.000000	0.019601
9	3	40.625449	12.636822	80.249347	54.425555	0.194919	0.900133	0.136230	0.607726	3.377020	3.000000	0.014099	22.951496	4.000000	0.028092	3.601668	3.000000	14.268894	3.022123	5.000000	0.017800	5.663712	3.000000	0.036508	4.579800	2.000000	22.303820	4.673503	2.000000	0.012995	0.461757	5.000000	0.052934
10	2	7.007107	74.244183	58.763007	71.342388	0.519228	0.148116	0.812575	0.779904	2.604634	4.000000	0.018862	9.540015	3.000000	0.014273	1.961229	1.000000	96.263256	3.511125	6.000000	0.018138	50.976986	5.000000	0.034731	4.073625	5.000000	75.081068	2.590498	4.000000	0.026095	0.252559	2.000000	0.010810
11	2	57.667906	82.993327	57.116085	82.648430	0.988969	0.420464	0.172946	0.962675	1.080806	4.000000	0.015263	52.195321	4.000000	0.057944	2.700667	1.000000	66.428118	0.702737	6.000000	0.014888	54.843001	3.000000	0.011348	0.502400	3.000000	9.352055	1.238399	6.000000	0.035599	4.233939	3.000000	0.116575
12	3	27.913315	23.594698	29.873939	89.484154	0.643514	0.140650	0.215081	0.457631	1.651080	2.000000	0.012994	32.091308	5.000000	0.018521	3.327290	1.000000	26.600920	1.202664	5.000000	0.081001	45.032286	4.000000	0.036773	3.161403	5.000000	11.789473	0.938949	4.000000	0.041400	4.014320	3.000000	0.025881
13	2	91.234506	6.838852	23.747411	84.263459	0.693661	0.724077	0.737701	0.859976	3.621901	5.000000	0.015897	21.727540	1.000000	0.014289	2.023829	3.000000	27.025270	3.039431	5.000000	0.150082	55.917074	3.000000	0.011383	4.352473	4.000000	66.904468	1.556223	4.000000	0.010512	1.158153	6.000000	0.011362
14	2	55.011869	60.861478	22.319770	46.311470	0.269232	0.916765	0.479399	0.673698	3.023541	4.000000	0.012303	2.983706	1.000000	0.011942	4.391922	5.000000	9.030192	1.195912	6.000000	0.013914	53.486366	2.000000	0.016963	1.568875	6.000000	40.257953	1.030869	5.000000	0.011945	1.160963	3.000000	0.019629
