8	4	6.421799	-7.858267	6.104451	-7.389957	6.101037	-2.684786	6.254806	0.075964	-4.297903	6.101037	6.421796	-1.467613	0.050766	7.052584	0.144962	-2.684786	6.256167	-5.928514	7.241038	0.144962
10	4	-4.552800	7.708933	2.942844	-6.406041	6.689288	5.790239	1.133956	7.069749	-8.567917	6.689298	6.209187	-4.941488	7.297449	-8.567921	6.689298	-4.565798	8.349275	0.892736	3.778751	4.362717
12	4	7.483427	-8.633137	6.445130	-4.951666	8.206382	7.483427	-6.180897	3.850872	1.318886	2.057981	-2.508732	7.933476	-6.196702	5.153013	1.962817	7.482522	-2.947414	0.271468	4.489768	1.962818
14	4	-4.029485	6.792610	0.095312	-2.531732	7.608426	-4.029674	6.793007	-3.982724	4.495412	1.969845	7.093749	-7.282245	4.716029	-4.052563	7.608426	0.831215	-4.298069	4.700635	-4.049823	7.608426
21	4	6.972899	-6.995989	0.723893	6.228505	1.893221	6.972899	-12.785746	6.408831	-5.652508	6.380209	-5.513667	3.988235	-5.559677	6.258118	1.872333	-5.513359	3.916698	0.131216	-1.551499	6.211668
22	4	-3.909750	5.509153	-3.560527	6.807678	0.916362	7.295730	-4.942184	6.655840	-7.012828	6.884862	-3.908146	5.122405	2.401209	-6.467750	6.884848	7.295730	-3.311162	3.839646	-1.027055	6.835179
23	4	7.270638	-5.964014	-1.000041	6.334298	3.894570	7.270638	-7.100888	2.228855	-6.158541	7.273202	-1.152718	6.373030	-5.609629	6.350808	3.888363	-1.152718	6.370003	-2.380734	-3.242512	7.236788
30	4	1.614559	-5.031818	7.258022	-9.036517	7.358701	-3.207898	7.034115	-2.759715	7.772679	1.243414	6.521673	-10.928570	7.266893	-9.036518	7.358701	6.521673	-5.350047	1.432308	7.772435	1.243419
33	4	-5.064118	4.071589	2.245866	-5.776801	5.434037	6.789926	-8.110025	6.107166	-6.118267	5.434037	6.789926	-6.254096	0.013575	4.208240	0.547241	-5.069352	4.194811	-3.913727	7.985955	0.544636
42	4	6.659005	-10.414551	5.363924	-12.595174	6.406154	2.042202	5.996671	-1.130695	-6.805802	6.406154	2.042202	5.996789	-5.984309	3.731238	0.044147	6.659005	-5.620876	0.518432	3.696940	0.056871
43	4	6.428239	-10.540509	3.012890	6.670856	-1.281365	6.428239	-11.656687	9.164528	-1.614508	5.171818	-3.530991	5.573665	-2.928052	7.545443	-1.281365	2.932373	5.493204	-2.928050	7.545443	-1.281365
51	4	6.744274	0.588288	0.894019	9.158525	3.025257	0.504840	6.887000	-4.780535	9.465938	3.025257	6.749782	-1.274386	4.352314	3.825456	3.027735	6.749791	-3.893208	6.487278	-4.467747	5.923293
63	4	5.634118	-7.470815	8.053274	-5.940784	4.201460	1.590458	-4.990832	8.053114	-5.940742	4.201460	-2.678269	7.713643	-2.257639	5.192351	-0.354856	1.331535	1.337599	7.266567	-5.610983	4.196460
68	4	5.138556	-9.837298	5.834380	-4.837707	4.423001	-6.594235	4.850586	1.375283	-2.951373	4.413494	5.138556	-6.258600	-0.271811	6.713619	-1.983739	-6.594246	4.851900	-4.730908	6.726931	-1.983740
73	4	-4.975345	0.571123	7.309201	-8.781522	5.881129	5.964590	-9.096105	7.390573	-8.786449	5.881129	-4.975351	6.204130	2.835020	-4.963568	5.881128	-4.975351	6.711365	-2.853116	6.147602	1.034103
80	4	-1.863934	6.505773	1.246127	-5.022765	6.492651	5.673460	-4.768909	7.818805	-8.526564	6.493150	-1.863934	6.507858	-5.092537	0.874846	5.355596	-1.863934	6.507858	-5.097744	3.393276	2.117311
81	4	-9.132452	8.234515	-1.561388	1.338413	4.631588	-3.099204	-3.500006	6.208707	-8.685964	5.512280	-5.396508	2.242424	5.236713	-7.962037	5.511512	-9.132452	8.234516	-1.751285	8.637510	-0.146592
