267	3	5.898111	4.218697	5.238920	2.121906	5.904488	0.321864	5.232786	5.655739	3.157895	7.404637	6.121641	0.182758
460	3	5.181142	4.393306	8.124399	4.392121	5.016794	7.333546	8.342598	1.601622	6.242567	2.540718	6.588007	6.379300
1076	3	7.429832	2.731398	1.171402	5.023131	5.145620	5.954958	6.073643	1.916328	7.429832	0.248925	0.862402	6.567649
1276	3	4.086638	5.993972	6.105781	1.091103	7.023093	-3.698008	-0.272832	6.681995	7.017298	2.548297	0.873358	3.071929
1670	3	6.268265	-1.311979	0.940381	8.462607	6.267037	4.086278	3.254184	4.074672	4.605279	5.298452	5.539001	2.870061
1811	3	3.184769	1.382339	5.908218	5.867811	1.133876	6.103138	7.217952	0.123017	6.431941	-2.059045	4.951358	6.177525
2254	3	4.476101	0.950237	2.730449	6.449886	1.340403	5.614702	8.343404	0.233242	1.553697	2.065171	3.703002	5.600779
5641	3	1.950852	6.966400	5.171350	3.674133	5.679655	-3.753945	0.833099	6.776483	3.067696	1.342988	1.583210	6.535052
5955	3	1.603520	5.675085	6.159966	0.771171	5.487111	0.076661	0.310900	6.209901	5.486676	4.957024	3.307358	1.833937
6807	3	4.616874	5.323035	6.085287	1.096271	6.545272	2.122036	2.260154	4.234080	6.545378	-2.828633	-0.416930	6.499983
8183	3	2.582506	7.105376	6.811261	0.599722	5.967269	2.446646	0.421525	6.066599	2.743173	3.548405	6.601717	3.078366
8284	3	4.461557	0.929220	7.524686	5.482174	4.454220	6.111987	8.375100	1.322483	6.914149	-3.730615	5.323919	6.442898
8936	3	1.465008	5.886786	6.492026	1.791246	6.805004	4.258874	3.209763	4.192702	6.805590	1.572197	3.189994	6.459773
