1	100	4.942732	3.461906
1	100	5.308162	2.465802
1	100	0.230857	8.186112
2	85	5.920133	1.727236
2	15	1.174954	6.755814
1	100	6.489214	2.969235
1	100	8.227317	-3.055324
2	74	2.124129	6.602696
2	26	6.679775	2.951158
1	100	5.680593	4.127663
2	40	6.490417	1.674031
2	60	1.969968	6.24811
1	100	-0.351691	6.265501
1	100	-0.680485	8.137118
1	100	4.661388	3.290345
1	100	-4.713878	6.780452
1	100	2.9723	7.010213
2	87	6.899284	-0.795477
2	13	2.551876	5.47622
1	100	1.125203	8.72937
1	100	1.692943	7.266492
2	86	7.791118	0.522754
2	14	1.873674	6.753917
2	92	1.760361	5.415535
2	8	7.230286	1.18224
2	36	6.699664	1.09087
2	64	0.931831	7.283432
1	100	9.570188	1.417891
1	100	6.227302	6.318664
1	100	-2.363507	6.748131
1	100	6.151426	2.86476
1	100	0.959418	6.853747
1	100	7.488447	5.303751
1	100	5.1497	3.178267
1	100	-0.596814	7.07272
1	100	2.656536	7.260432
1	100	-1.924478	7.25738
1	100	6.339176	2.995295
1	100	6.781578	0.779434
1	100	1.655749	7.577236
1	100	7.997125	1.168014
1	100	0.073829	6.547044
2	67	9.203005	2.782572
2	33	3.256283	7.754898
1	100	6.104895	4.598537
1	100	6.673425	0.808222
2	96	0.728299	6.417206
2	4	7.189813	3.533834
1	100	1.029792	7.902211
2	45	7.720589	-0.291043
2	55	4.069169	5.012371
1	100	8.844577	-0.102258
2	84	6.797995	-0.522279
2	16	1.489112	5.918406
1	100	6.729456	3.712879
1	100	7.234338	-0.389397
2	81	7.378662	2.246803
2	19	3.763401	6.696244
1	100	1.383326	5.95516
1	100	8.772363	0.177742
2	79	1.452325	4.623972
2	21	5.721226	3.007539
1	100	3.240462	6.183837
2	88	8.887396	0.933367
2	12	4.360696	7.459248
1	100	-0.237844	7.676629
2	54	3.238536	4.951988
2	46	7.994473	3.156207
1	100	6.48073	-3.320272
1	100	0.245246	6.234909
2	69	4.445735	7.667652
2	31	6.732709	2.395501
2	9	7.140072	2.775881
2	91	0.777403	8.914825
1	100	3.136713	6.235544
2	75	7.487248	0.549595
2	25	2.044018	6.789908
1	100	6.392529	3.400874
1	100	-0.280938	6.368049
1	100	1.852564	7.243717
1	100	7.574257	0.183498
1	100	-0.83547	7.227611
2	90	9.082718	2.411202
2	10	3.599043	7.244158
1	100	6.756641	2.732651
2	60	7.210495	2.888447
2	40	2.051745	8.558712
1	100	4.407021	5.152103
1	100	7.365455	-0.775506
1	100	1.32641	4.171952
1	100	1.636356	6.501934
2	67	6.660558	1.679941
2	33	2.943581	6.573189
2	92	7.811448	0.899685
2	8	3.027941	6.854403
1	100	7.474046	3.419582
2	77	7.428152	3.313605
2	23	1.738259	6.969881
1	100	7.084174	0.221297
1	100	0.298778	7.529138
1	100	2.196608	9.255641
1	100	3.521879	6.565972
1	100	0.985279	8.738173
1	100	2.233651	5.910588
1	100	4.783677	4.885815
2	86	7.276702	2.505698
2	14	0.849801	7.392306
1	100	0.761065	5.284028
2	55	2.15989	5.894214
2	45	8.221842	1.145089
2	44	7.078115	2.271769
2	56	4.796163	7.730651
1	100	2.981853	6.90201
1	100	5.887457	3.228872
2	74	3.217034	7.120647
2	26	6.234592	3.250017
1	100	0.936896	7.067135
1	100	-4.194628	9.244191
1	100	7.760422	3.641969
1	100	8.018788	0.808137
1	100	6.767543	1.953381
1	100	3.971396	6.761213
1	100	7.730927	1.448646
1	100	8.283564	2.849024
2	55	-1.172614	5.374724
2	45	5.322311	0.487004
1	100	0.306369	7.114198
2	24	5.518514	2.86002
2	76	-0.32843	7.34349
