3	9	5.871054	-14.628119	5.029750	-0.195387	2.005092	5.871052	-9.502702	-0.272436	-0.195387	2.005092	0.015625	-3.684252	-0.272437	-0.195388	2.005035	0.020798	-8.820426	5.029750	-0.195387	2.005092	-2.392462	1.479084	-0.815251	-0.594383	0.410368	0.020803	-13.368808	5.029750	4.945067	2.005092	-2.392231	1.478932	-0.815019	-0.594237	-5.205697	0.020793	-8.243386	-0.272436	4.945067	2.005092	5.871054	-14.051082	-0.272436	4.945067	2.005092
55	9	6.663684	-4.840841	0.627349	0.185551	7.151577	-3.420485	3.181265	-6.223159	-3.946584	-2.998188	6.663684	-10.844665	6.658937	0.185551	7.151580	6.663684	-15.790567	6.658937	0.185551	1.232226	6.663684	-9.855172	0.627349	0.185551	1.232226	6.663684	-21.136546	6.658937	5.120528	1.232226	6.663684	-15.201218	0.627349	5.120528	1.232226	6.663684	-10.255295	0.627349	5.120528	7.151580	6.663684	-16.190661	6.658937	5.120528	7.151580
134	9	-0.380191	-9.210596	6.708138	-3.156790	2.089667	-2.169438	2.153732	2.564737	-7.629000	3.576096	-0.472436	-3.084113	6.708133	-3.156790	6.847220	5.598820	-15.490519	6.708138	-3.156790	2.091599	-0.379461	-10.289304	6.708138	3.307627	2.090696	5.597579	-9.364161	6.708138	-3.156790	6.909154	-0.423906	-4.163015	6.708138	3.307627	6.879904	5.598830	-16.569309	6.708138	3.307627	2.091612	5.598242	-10.443028	6.708138	3.307627	6.909589
145	9	5.964406	-8.887393	5.066160	7.265438	6.920430	0.228143	-4.246789	-0.933704	7.264315	0.558844	-4.925481	4.513809	-6.194257	-4.012030	-3.484385	5.964406	-5.598840	-0.932977	7.265267	6.898844	0.228143	-3.678790	5.064367	7.262968	6.833914	5.964406	-9.131287	-0.932846	7.265439	0.637360	0.198661	-0.364293	-1.106888	7.039132	6.218687	0.228143	-7.250165	5.066149	7.265422	0.629443	5.964406	-12.408621	5.066162	7.265440	0.640036
368	9	6.510809	-7.661482	-0.351902	-0.007848	-0.482470	-1.388388	1.733570	-1.449760	-0.580322	-2.935443	6.510809	-6.782959	3.353116	-0.007848	5.143713	6.510809	-10.457595	3.357514	-0.007848	-0.471813	6.510809	-10.170623	-0.349752	6.010407	-0.472210	6.510809	-6.506635	-0.355093	6.010407	5.139778	6.510809	-9.303738	3.357056	6.010407	5.159139	6.510809	-4.007578	-0.381697	-0.007848	5.035772	6.510809	-12.973879	3.357822	6.010407	-0.470324
385	9	0.506145	-9.140298	9.037965	4.444361	7.381159	0.506127	-5.289855	9.037965	-2.030710	0.822774	-3.930500	5.004339	-2.745238	-8.246203	-4.726842	-3.929568	4.729891	2.965391	-8.246203	-4.726816	4.953341	-10.617615	9.037965	4.444361	7.381159	4.953339	-6.772217	9.037965	-2.030709	0.822774	0.504793	-3.199114	9.037964	-2.034516	7.381159	0.506145	-11.134796	9.037965	4.444361	0.822774	4.953247	-4.766451	9.037965	-2.030715	7.381159
461	9	2.221882	0.090126	-0.179382	7.729617	-0.013297	-3.859858	4.618422	-6.571856	-4.643138	-4.691627	7.252034	-5.506502	-0.173950	7.874410	5.124692	2.228088	-4.883781	4.884396	7.874406	5.124692	-3.859858	4.618195	-6.571856	1.412073	-4.691627	7.252034	-7.134505	-0.173950	7.874411	1.629981	2.228088	-6.521781	4.884396	7.874411	1.629981	7.252034	-12.078353	4.884396	7.874411	1.629981	7.252034	-10.457677	4.884396	7.874411	5.124692
490	9	1.458343	-6.524123	1.586243	6.468017	0.813351	1.458361	-12.746974	8.156457	6.468574	0.813351	1.125492	0.819624	-2.998170	-1.041585	-2.370094	3.162579	-12.930102	8.156457	6.468574	7.013490	3.162579	-13.160123	8.156457	6.468574	0.813351	1.458361	-12.516953	8.156457	6.468574	7.013490	3.162570	-6.707313	1.586243	6.468142	7.013490	3.162572	-6.937395	1.586243	6.468260	0.813351	1.458336	-6.293996	1.586243	6.467808	7.013490
509	9	6.668506	-5.799841	5.053552	-0.380644	-3.840508	-4.838399	7.546376	-6.005752	-6.612637	-8.203642	0.685486	-5.777955	5.053552	-0.380651	-3.840641	6.668478	-4.364123	0.034315	-0.381960	-3.855366	0.685456	-4.342180	0.034315	-0.382008	-3.855726	0.685488	-11.269994	5.053552	4.461181	-3.831916	0.685488	-9.835446	0.034315	4.461180	-3.832254	6.668507	-11.291878	5.053552	4.461181	-3.831913	6.668507	-9.857329	0.034315	4.461180	-3.832246
549	9	7.159916	-11.009816	5.877812	1.223894	0.100183	-1.760042	2.528969	-1.681984	-1.437064	-1.517135	7.159907	-8.681913	5.877811	1.223894	5.817865	7.159607	-6.108809	0.487141	1.223894	0.092315	7.159902	-8.369239	0.487189	6.774184	0.098753	7.159915	-10.958308	5.877812	6.774184	5.818952	7.159916	-13.285673	5.877812	6.774184	0.100400	7.159575	-6.037787	0.487135	6.774184	5.810695	7.151941	-3.761179	0.485873	1.223874	5.778356
