1	5	-0.115266	-3.978260	8.640299	7.633233	7.809446	-0.115266	7.545186	8.640299	-4.504637	-4.094963	-0.115266	-0.496425	2.454887	7.633232	7.799764	-0.115266	0.444034	8.640299	1.462929	7.773908	-0.115266	11.022383	2.454887	-4.504638	-4.237592
7	5	6.784110	-1.751111	-0.800275	9.673256	5.720156	0.576085	1.611197	-0.800275	6.277442	5.553185	0.576085	5.824178	-0.800275	5.449262	-4.354291	6.784110	9.117706	-0.800275	-0.768350	-4.485829	0.576085	12.371916	-0.800275	-0.768351	-4.485975
12	5	1.423498	5.978515	5.797417	-6.723766	-0.904303	7.327730	-6.214687	5.797417	-0.395444	7.030850	1.423498	0.217498	5.797417	-0.410413	7.002368	1.423498	-6.171378	5.797417	4.996059	7.030850	7.327730	-12.586578	5.797417	4.996059	7.030854
50	5	1.911026	-3.291421	6.701876	6.783638	7.199744	1.911026	7.512521	6.701876	-4.946198	-5.014498	7.615587	-9.338276	6.701876	6.783638	7.199744	1.911026	1.966696	6.701876	4.137010	0.707063	7.615587	-4.109122	6.701876	6.783638	1.436753
54	5	6.053272	1.775334	5.062746	5.701605	6.493847	6.053272	9.757762	5.062746	3.421469	-5.104390	0.504862	11.671453	-1.463190	3.401709	-5.104390	6.053272	10.199474	-1.463190	3.414410	-5.104390	0.504862	11.230868	5.062746	3.404276	-5.104390
73	5	7.611544	-6.304006	1.468926	6.148423	7.016893	7.611544	-4.985352	6.294085	0.074424	7.016893	7.611544	3.666122	1.468926	-1.137643	-3.690360	7.611544	0.224911	1.468926	-0.090841	7.015037	7.611544	-11.513198	6.294085	6.150332	7.016893
78	5	0.431844	8.672390	0.203420	-5.927316	1.076698	0.431844	1.372983	0.203420	6.968729	6.722048	6.619648	2.448068	0.203420	0.599489	6.216285	6.619648	6.979812	0.203420	-5.927236	1.207026	6.619648	-0.328725	0.203420	6.977387	6.889568
81	5	0.302372	-3.361755	-1.480301	7.313038	6.480622	0.302372	1.540532	-1.480301	0.709957	6.458394	6.884779	-9.684900	-1.480301	7.313038	6.480622	0.302372	7.000524	-1.480301	-4.091403	-0.805713	6.884779	-4.782641	-1.480301	0.738131	6.480622
91	5	6.260111	-3.320519	9.614675	1.562643	7.149578	-0.057841	3.695848	9.614675	-4.249008	-1.779211	6.260111	-7.254064	9.614675	5.888625	7.149578	-0.057841	-0.209001	9.614675	1.562178	7.149361	-0.057841	-4.142759	9.614675	5.888625	7.149578
100	5	5.884115	-2.568934	5.928055	7.660024	6.703450	1.213344	1.451419	5.928055	7.330361	6.127971	1.213344	10.159576	5.928055	-0.732256	-1.515498	1.213344	5.365494	5.928055	0.284147	3.694291	1.213344	8.547098	5.928055	4.945626	-0.926802
111	5	4.225325	-4.925528	1.141564	6.456504	8.546787	4.225325	-2.544796	1.141564	0.958922	8.546787	4.225325	2.789229	1.141564	0.142715	-1.631904	4.225325	-8.158185	6.662412	0.958940	8.546787	4.225325	-10.538915	6.662412	6.456504	8.546787
149	5	1.936378	6.923092	8.276340	-3.926782	-4.543383	1.936378	-4.666322	8.276340	8.041420	6.917237	4.868019	5.704826	8.276340	-3.921572	-4.543273	1.936378	0.543515	8.276340	-1.193080	6.906466	4.868019	-5.891443	8.276340	8.054323	6.917237
171	5	8.765467	2.638726	-2.249092	-4.317607	-4.077041	8.765467	-3.368826	-2.249092	6.702310	0.018692	3.456433	8.897038	-2.249092	-5.347157	-6.003728	3.456433	-1.561569	-2.249092	6.689119	4.588390	8.765467	-7.838220	-2.249092	6.702627	4.593974
176	5	4.968222	7.354295	0.596550	-5.841651	-2.166689	4.968222	5.403538	6.994886	-4.963490	-1.344607	4.968222	0.550830	6.994886	0.418372	6.363612	4.968222	-0.264016	0.596550	6.931539	6.422165	4.968222	-2.215920	6.994886	6.978311	6.449073
180	5	8.033522	5.406113	2.066633	0.491252	-5.465597	8.033522	-4.165129	8.474607	9.489219	-0.192501	8.033522	-10.403558	8.474607	9.489219	6.170600	8.033522	-1.205593	2.066633	9.489202	-0.202686	8.033522	-7.446624	2.066633	9.489219	6.170598
184	5	0.118694	3.544157	6.839754	-1.096430	-3.071938	6.298178	-1.549100	6.839754	7.781540	1.293995	6.298178	-6.047504	6.839754	7.781540	7.144295	0.118694	-0.361859	6.839754	7.781539	1.284151	0.118694	-4.860797	6.839754	7.781540	7.144295
191	5	7.342689	-4.401436	2.284816	5.917481	8.069160	3.312686	-1.939403	2.284816	5.897849	8.069160	3.312686	1.074527	2.284816	-6.254065	7.930331	7.342689	-8.778872	7.441570	5.917481	8.069160	3.312686	-6.316840	7.441570	5.917481	8.069160
