1	5	30.775085	647.008617	85.483799	70.559718	75.728097	0.626802	0.309064	0.214237	0.355404	0.337564	70.111434	5.000000	53.182295	14.864303	2.000000	0.010998	17.672906	5.000000	0.089562	2.484785	4.000000	0.019318	14.688061	2.000000	0.013373	23.333082	6.000000	73.667055	8.695548	6.000000	0.016100	17.226564	5.000000	72.558946	8.518704	2.000000	0.019414	3.839941	6.000000	82.227793
2	8	96.678448	928.511000	80.848178	86.751987	49.338035	0.917064	0.179079	0.846769	0.872160	0.576316	54.671762	5.000000	74.376379	30.725923	4.000000	0.056413	11.997811	4.000000	0.028768	14.453456	3.000000	0.028985	7.054292	5.000000	0.079887	23.764410	3.000000	33.873502	3.700092	1.000000	0.020862	8.898531	3.000000	78.569251	6.767764	1.000000	0.015071	12.877106	3.000000	7.003027
3	2	60.445271	254.875761	4.495501	6.726799	71.942095	0.412679	0.274702	0.994959	0.556031	0.525277	7.992804	3.000000	74.834365	68.168490	1.000000	0.011037	67.074339	1.000000	0.018135	2.947369	5.000000	0.021131	3.720126	3.000000	0.034896	18.791092	2.000000	96.322890	5.555673	4.000000	0.019088	6.530218	1.000000	48.175339	4.324165	5.000000	0.026667	0.945436	2.000000	43.313225
4	6	83.678174	148.428596	42.566950	6.723057	71.465043	0.370558	0.522927	0.296829	0.108366	0.402728	43.798456	4.000000	96.818367	34.917671	1.000000	0.023529	27.144660	2.000000	0.019986	15.415456	2.000000	0.105556	16.927249	6.000000	0.047811	65.600082	2.000000	62.473955	3.955737	3.000000	0.019347	14.104999	2.000000	22.266152	2.523018	1.000000	0.010650	4.858317	2.000000	14.863666
5	4	34.648874	910.068042	28.070018	28.470810	13.883632	0.181142	0.687642	0.243669	0.627288	0.771152	20.994625	1.000000	33.057728	42.523205	2.000000	0.044765	34.864508	3.000000	0.049794	2.214605	6.000000	0.021240	17.508276	3.000000	0.011075	32.338687	3.000000	43.843100	2.062412	3.000000	0.542263	11.929249	5.000000	94.781784	5.236634	3.000000	0.056217	10.414827	5.000000	98.136298
6	1	67.585229	350.258903	56.544992	67.090462	66.410986	0.253804	0.852263	0.651678	0.701747	0.952548	6.291990	2.000000	99.739905	12.374052	5.000000	0.014023	61.723659	1.000000	0.016679	0.544902	3.000000	0.090721	7.832310	5.000000	0.017062	32.471549	1.000000	86.558487	9.366815	4.000000	0.108950	11.501906	2.000000	28.507184	2.734008	5.000000	0.010535	11.235893	2.000000	22.338682
7	5	99.865453	980.292108	38.975908	88.812261	39.926711	0.891411	0.180226	0.780922	0.106697	0.738057	39.647080	4.000000	75.159285	69.450576	5.000000	0.015846	52.119293	6.000000	0.038887	1.743095	6.000000	0.010698	1.776566	1.000000	0.016652	68.578190	4.000000	86.915215	1.083845	3.000000	0.052751	11.719043	4.000000	74.825084	6.241898	3.000000	0.013793	8.790090	2.000000	16.726959
8	4	86.212815	510.893822	96.315258	3.594307	23.614717	0.658940	0.749643	0.630369	0.708139	0.312889	54.712642	4.000000	48.885642	42.176299	2.000000	0.021405	3.699711	2.000000	0.014286	3.742945	5.000000	0.067020	16.309991	3.000000	0.012589	36.061038	1.000000	21.550141	7.226632	2.000000	0.065192	8.155113	1.000000	39.126540	4.834346	4.000000	0.020620	13.587539	5.000000	69.861882
9	4	14.310641	480.423258	83.755257	73.681035	90.956046	0.350373	0.667843	0.124709	0.133491	0.422159	16.245487	4.000000	64.813852	48.827391	5.000000	0.016748	7.377997	5.000000	0.138213	1.925770	3.000000	0.087772	16.087612	1.000000	0.011165	23.098603	2.000000	98.307118	4.457175	2.000000	0.019359	4.485083	4.000000	85.775821	8.060137	4.000000	0.024915	0.258502	5.000000	10.580936
10	1	9.754687	277.450614	79.799048	71.627962	1.049465	0.744844	0.948126	0.896827	0.729178	0.820280	21.566667	6.000000	3.961931	33.099216	3.000000	0.022046	25.304852	2.000000	0.200261	12.196470	4.000000	0.089662	4.855925	1.000000	0.035925	61.377887	2.000000	8.538502	3.588475	1.000000	0.012175	5.923644	5.000000	8.995896	1.931762	3.000000	0.018248	16.028273	3.000000	77.222672
