1	2	59	4.580500	4.023611	-0.507029	4.094331	0.302470
1	2	41	6.854270	0.468596	6.084756	7.432921	-0.112423
2	2	37	0.425513	-8.547145	7.132994	7.268317	6.766812
2	2	63	6.701602	-2.915984	7.132513	7.258912	1.188894
3	2	76	-0.764846	-11.100183	6.629505	8.147855	5.654325
3	2	24	4.958880	-5.133865	6.629505	8.137059	1.580259
4	1	100	0.448767	-2.942233	7.410623	6.005686	7.734233
5	1	100	1.225694	1.403337	3.717920	3.314965	-1.079928
6	2	39	3.075300	1.830646	2.659757	2.043737	-1.210157
6	2	61	7.200949	-1.660958	7.224805	2.934277	-3.433355
7	1	100	-1.853965	3.937727	3.804762	1.513570	6.102257
8	1	100	0.964585	0.295055	4.104788	5.723638	7.828074
9	2	24	-3.449954	3.920761	4.098903	-0.545733	6.810973
9	2	76	2.289105	7.982498	4.097656	-0.545763	2.069405
10	2	93	1.890991	-5.959393	6.225178	6.279548	5.759107
10	2	7	7.338020	-4.507499	6.225178	6.161291	2.555768
11	1	100	5.688224	-4.458823	7.022283	8.043518	2.643754
12	1	100	-1.038790	3.109410	-0.819841	0.225047	5.489623
13	3	66	-5.048018	4.902563	-0.365687	2.370499	6.293699
13	3	33	-0.380383	-3.118482	5.667731	8.639232	6.292917
13	3	1	6.174985	-0.222192	5.545475	7.688309	0.076826
14	1	100	-0.073867	-4.414149	7.038130	7.010738	7.941213
15	1	100	4.312803	5.349486	-0.311345	-2.661477	-0.932620
16	1	100	2.307967	0.983502	5.974994	5.549808	1.302842
17	1	100	2.732537	2.810842	2.144719	2.679211	4.573546
18	1	100	1.472862	2.509966	5.182528	2.376039	5.617666
19	2	14	-1.218534	2.969939	-0.062916	4.948622	7.573007
19	2	86	1.109874	-6.195069	5.810643	7.268702	6.191407
20	1	100	6.587896	-1.483360	6.790993	6.068245	3.307864
21	2	78	2.063350	-0.126501	1.149660	8.518090	5.162256
21	2	22	7.232265	0.212865	0.364487	8.513258	-0.179895
22	2	47	6.664781	-0.920939	5.630278	9.401201	1.106885
22	2	53	2.302857	4.454050	-0.608573	2.871870	3.838062
23	1	100	1.029658	-3.244982	7.658011	8.105379	4.776459
24	2	75	6.975623	-2.790026	7.538842	6.673072	-2.658344
24	2	25	2.394227	4.547595	1.655990	1.467171	3.238424
25	2	52	5.252598	-3.241428	7.118863	6.700574	2.072483
25	2	48	1.419554	-8.079572	7.118863	6.701506	7.756693
26	1	100	8.513273	0.781842	0.480548	8.637693	2.727431
27	1	100	0.639120	2.321333	0.724475	5.165347	6.553532
28	1	100	-1.618023	-4.907971	6.574188	7.964464	5.938545
29	1	100	0.189558	3.062779	1.183395	-0.056446	6.311111
30	2	61	1.448813	0.932426	5.499072	6.033820	7.640538
30	2	39	1.921155	-1.797295	6.130833	7.135641	7.622668
31	1	100	-0.925390	1.608930	0.886003	4.677260	8.338852
32	2	99	-0.768577	5.134672	1.092255	0.875650	5.841718
32	2	1	1.912543	0.908899	4.500385	5.904699	5.828858
33	1	100	-3.061197	-9.888464	7.270323	6.681618	8.415483
34	2	21	5.053594	-1.480935	8.206555	7.982352	3.196317
34	2	79	-3.660787	6.571426	1.923876	3.966578	8.583167
35	2	49	-3.581507	2.944227	3.898155	2.322735	6.535845
35	2	51	1.697729	-3.819969	8.686540	5.776882	6.469076
36	1	100	-0.881784	2.195355	3.132408	5.385927	7.007374
37	1	100	6.141407	-0.500598	4.734965	6.653982	1.035981
38	1	100	2.283222	-3.362140	7.314536	6.566950	4.071575
39	1	100	1.088937	3.946328	5.324509	-1.567126	6.651285
40	1	100	1.556769	-9.991043	6.201658	6.730285	8.241342
