11	11	1.064222	-2.301904	5.824185	4.026625	7.516699	7.263655	-7.597943	-0.545473	4.791128	7.516699	1.064222	9.995076	5.824185	-0.863656	1.287308	7.263655	-3.703431	5.824185	4.462933	1.287308	1.064222	10.881007	-0.545473	-0.872439	1.287308	1.064222	6.322817	-0.545473	-0.655871	7.516699	7.263655	-8.492468	5.824185	4.803522	7.516699	1.064222	-1.019254	-0.545473	3.362731	7.516699	7.263655	5.197607	-0.545473	-0.428449	1.287308	7.263655	-2.600935	-0.545473	4.143977	1.287308	1.064222	5.424751	5.824185	-0.486015	7.516699
32	11	0.160237	9.285275	0.167754	-1.292237	2.117677	0.160237	7.878019	0.167754	-1.292060	8.002099	6.595610	6.439965	0.167754	-1.288531	2.117677	6.595610	-6.422255	6.702039	5.267870	8.002099	0.160237	-2.159075	6.702039	5.266984	2.117677	0.160237	4.755960	6.702039	-1.173925	2.117677	0.160237	3.344012	6.702039	0.077653	8.002099	6.595610	5.032666	0.167754	-1.224477	8.002099	6.595610	-1.869713	0.167754	5.266253	8.002099	0.160237	-3.576715	6.702039	5.267824	8.002099	6.595610	-5.014994	6.702039	5.267868	2.117677
42	11	6.910494	-7.330310	6.975647	5.925541	2.562474	6.910494	-8.837214	0.606621	5.931529	7.384452	6.910494	5.380639	0.606621	1.146948	2.562474	1.268458	6.491041	6.975647	0.583586	2.562474	1.268458	8.534401	0.606621	0.030409	2.562474	6.910494	-10.880674	6.975647	5.933999	7.384452	1.268458	-5.681896	0.606621	5.905996	7.384452	1.268458	-7.726929	6.975647	5.927759	7.384452	6.910494	-5.284363	0.606621	5.896983	2.562474	6.910494	3.265914	6.975647	2.655155	2.562474	1.268458	4.983613	0.606621	1.394456	7.384452
65	11	6.517857	2.100564	-0.969664	4.802677	7.741496	0.946453	6.988845	-0.969664	1.518548	7.741496	6.517857	-7.066794	5.300559	6.240982	7.741496	6.517857	7.295546	-0.969664	1.383494	1.772064	6.517857	6.705223	5.300559	1.656865	1.772064	0.946453	11.330198	5.300559	0.656414	1.772064	0.946453	11.920342	-0.969664	0.635339	1.772064	6.517857	-6.471475	-0.969664	6.238709	7.741496	6.517857	1.033541	5.300559	5.369330	7.741496	0.946453	6.398430	5.300559	1.820708	7.741496	0.946453	-2.147288	5.300559	6.116442	7.741496
81	11	6.447305	-9.669233	1.351823	4.813523	8.242396	6.447305	-13.178756	6.796073	4.813936	1.993085	1.188783	-5.305333	1.351823	4.804706	1.993085	6.447305	-1.114035	1.351823	4.659919	1.993085	1.188783	-7.843124	1.351823	4.812372	8.242396	6.447305	-7.305751	1.351823	4.811649	1.993085	1.188783	0.760138	1.351823	4.361406	1.993085	1.188783	-1.680595	1.351823	4.706644	8.242396	1.188783	-13.715539	6.796073	4.813948	8.242396	1.188783	-11.352850	6.796073	4.813834	1.993085	6.447305	-15.541442	6.796073	4.813968	8.242396
219	11	1.707326	2.535605	8.375341	1.313587	0.456101	8.156145	-6.666985	8.375341	5.644003	0.456101	1.707326	8.908201	2.148465	1.115466	0.456101	8.156145	-7.923340	8.375341	5.644003	5.637434	1.707326	-2.842919	8.375341	5.643935	0.456101	1.707326	-4.099340	8.375341	5.644001	5.637434	8.156145	5.084201	2.148465	1.115649	0.456101	8.156145	-0.235162	2.148465	5.552460	0.456101	8.156145	-1.586648	2.148465	5.641769	5.637434	1.707326	7.651845	2.148465	1.115466	5.637434	8.156145	3.827644	2.148465	1.121399	5.637434
221	11	0.409475	7.850107	0.121708	-0.018807	5.285042	0.409475	3.762903	6.463812	1.376592	-1.011614	7.041572	6.684173	0.121708	0.014622	-1.011614	0.409475	8.411052	0.121708	-0.023347	-1.011614	7.041572	6.123177	0.121708	0.062295	5.285042	7.041572	-3.756307	6.463812	5.997510	-1.011614	7.041572	-4.318394	6.463812	5.998377	5.285042	7.041572	1.636193	6.463812	4.461469	-1.011614	0.409475	3.191540	6.463812	2.150734	5.285042	0.409475	-2.581759	6.463812	5.990966	5.285042	0.409475	-2.007742	6.463812	5.981121	-1.011614
400	11	5.189950	6.501690	2.524988	2.053829	6.605524	-0.512534	-6.182426	8.247620	6.837875	6.605524	5.189950	-6.937502	8.247620	6.841296	6.605524	-0.512534	7.254502	2.524988	1.590287	6.605524	-0.512534	-4.665662	8.247620	6.822349	1.922682	-0.512534	3.934776	8.247620	4.029603	1.922682	5.189950	3.041848	8.247620	4.720958	1.922682	5.189950	-5.425602	8.247620	6.832102	1.922682	5.189950	8.007367	2.524988	1.215855	1.922682	5.189950	-1.771073	2.524988	6.677309	6.605524	-0.512534	8.760164	2.524988	0.933830	1.922682
592	11	1.299602	7.313124	0.801448	4.317920	0.206980	1.299602	-6.350091	0.801448	7.609988	5.389570	1.299602	0.983993	0.801448	7.445137	0.206980	1.299602	-7.847494	6.326316	7.609988	0.206980	6.958314	-10.183858	0.801448	7.609988	0.206980	1.299602	3.090603	6.326316	4.378950	0.206980	6.958314	-14.005579	6.326316	7.609988	0.206980	6.958314	-12.764574	0.801448	7.609988	5.389570	1.299602	-10.538457	6.326316	7.609988	5.389570	1.299602	4.612306	0.801448	4.318241	5.389570	6.958314	-16.559725	6.326316	7.609988	5.389570
674	11	7.248963	-8.535369	8.004172	7.341938	1.960912	0.879932	-8.110973	8.004172	7.341938	8.094218	7.248963	-7.983008	1.930259	7.341938	8.094218	7.248963	-14.009778	8.004172	7.341938	8.094218	0.879932	10.165547	1.930259	0.979550	1.960912	0.879932	-1.569530	1.930259	7.337792	8.094218	0.879932	3.954324	8.004172	0.979554	1.960912	0.879932	4.567283	1.930259	0.979550	8.094218	0.879932	-2.293203	8.004172	7.341733	1.960912	7.248963	4.098542	1.930259	0.979552	1.960912	7.248963	-2.131638	1.930259	7.341537	1.960912
