12	7	-5.196540	7.586786	-3.716368	8.106991	7.150891	1.099353	-7.957134	8.106991	7.145128	1.099353	-1.507196	2.918516	-10.208535	7.594358	7.010848	2.918516	7.150895	-1.330675	-7.957134	8.106991	7.145132	-1.330675	-1.507196	2.918516	3.362475	1.100228	2.625746	2.918516
52	7	-5.997110	7.987032	4.901741	6.445153	9.652153	-3.560302	-0.526087	6.445153	4.146099	-3.560300	2.176847	1.482063	6.408675	-3.560302	0.768662	1.482063	9.723318	-3.560302	-4.039549	1.482063	9.723318	-3.560302	-5.231319	6.445153	-5.997110	7.987032	6.069364	1.482063
77	7	-5.624710	-0.088837	6.114662	1.739681	6.691678	-5.940922	-7.158657	6.799732	-10.436282	4.984465	6.117210	1.739681	-6.048004	4.984465	-0.638872	6.799732	6.653522	-5.940922	-4.189069	1.739681	-8.098784	4.984465	3.115892	6.799732	-3.221994	-0.088838	3.033561	6.799732
89	7	8.303071	-1.753683	-8.290332	5.806867	8.303071	-1.753683	-7.980514	0.492114	5.098172	4.004825	-8.289925	5.806867	5.098172	4.004825	-7.980107	0.492114	-7.755493	6.455461	3.858864	5.806867	-7.755494	6.455461	4.192803	0.492114	-3.526832	6.454059	-2.230746	0.492114
103	7	-12.171374	7.238969	5.903220	-0.435876	6.180869	-2.170527	-6.061447	-0.435876	-5.922986	7.233443	-3.793556	5.913909	6.180869	-2.170527	-9.810213	5.913909	-6.543555	1.633489	5.903206	-0.435876	-0.403975	7.003267	-3.859489	5.913909	-0.705824	1.374558	5.860697	-0.435876
148	7	-10.888618	6.846366	5.144447	0.944863	0.033483	6.828161	-1.495496	0.944863	6.958774	2.827554	-12.658238	6.155343	7.018225	-3.332143	-7.803654	0.944863	6.958774	2.827554	-7.803559	0.944863	0.033495	6.828160	-6.387014	6.155343	7.018225	-3.332143	-12.658332	6.155343
150	7	6.411582	-4.177689	-4.793582	2.333328	5.863125	-4.081413	1.757946	2.333328	-3.924872	0.424201	6.677871	2.333328	-5.821285	4.806229	6.677890	2.333328	6.411583	-4.177689	-7.340528	6.689335	-1.647063	4.798483	-2.490774	6.689335	-3.622318	0.424036	4.130905	6.689335
208	7	7.348025	-4.106386	-4.850629	-0.843847	-10.940926	6.982170	7.254650	-0.843847	-5.331223	0.812574	4.869353	5.234930	-5.331601	0.812584	7.254650	-0.843847	7.348025	-4.106386	-7.235922	5.234930	-4.441778	6.926889	-1.003122	5.234930	-10.940550	6.982170	4.869353	5.234930
291	7	7.241643	-3.633562	-7.509591	7.217026	-10.262701	7.862772	5.828881	2.053282	-10.153285	7.862727	4.302025	7.217026	7.241643	-3.633562	-5.984494	2.053282	-5.491928	1.906302	4.302025	7.217026	-5.604116	1.909106	5.828881	2.053282	1.975660	6.353517	-1.215883	7.217026
335	7	-2.873082	1.089020	1.840376	8.006838	7.112034	-3.449027	-5.298473	8.006838	-9.338342	7.623853	1.841119	8.006838	-9.690608	7.623853	5.871819	1.408853	-3.227516	1.089022	5.871541	1.408853	-3.054549	7.623851	-3.218886	8.006838	6.219740	-3.448863	-0.325652	8.006838
412	7	6.551013	-5.892987	-5.995617	6.527804	6.550722	-5.892987	-1.753065	0.231308	3.533726	-5.775077	1.826769	0.231308	-2.909294	-0.300673	3.133092	6.527804	-2.911643	-0.300673	7.259428	0.231308	-4.713508	5.170449	3.133092	6.527804	-4.715844	5.170449	7.259428	0.231308
441	7	0.787414	3.369626	4.839448	-1.677051	7.331122	3.368018	-4.136124	-1.677051	7.494285	-0.464136	-4.136378	-1.677051	4.374805	3.368018	2.112731	-1.677051	1.004845	-0.463261	4.542666	-1.677051	4.581954	-0.464136	2.094612	-1.677051	-3.342609	5.947317	6.891951	-1.677051
644	7	-9.407956	5.886669	4.393251	5.847309	5.976585	-6.177300	-8.017313	5.847309	5.976577	-6.177300	-5.213603	-0.538246	-4.828308	0.191777	7.213807	-0.538246	-3.387282	5.886669	-2.182427	5.847309	-4.795590	0.191777	4.393251	5.847309	-9.440254	5.886669	7.213807	-0.538246
682	7	-5.128755	0.134813	7.007105	1.540143	6.108301	-4.291746	-8.393789	7.403441	-10.194961	6.349598	4.054341	7.403441	-5.033798	0.134810	4.054002	7.403441	-4.924615	6.349578	-2.260467	7.403441	6.108301	-4.291746	-5.440749	1.540143	-10.289831	6.349598	7.007383	1.540143
823	7	7.064030	0.376984	-6.669301	7.892355	-4.934127	5.895633	7.616841	1.776633	6.650970	0.595390	1.711294	1.776633	-4.931934	5.895585	5.231879	7.892355	7.208437	-6.108806	-6.669304	7.892355	7.064030	0.376984	-4.284250	1.776633	7.208437	-6.108806	-4.284253	1.776633
826	7	8.188933	-5.964511	-9.638245	6.626509	-4.168378	-0.192217	1.918169	6.626509	-4.169850	-0.192217	4.738613	2.130960	8.188933	-5.964511	-6.821508	2.130960	-1.948840	5.127287	-3.125375	6.626509	-8.092803	5.127306	4.738631	2.130960	-8.091331	5.127306	1.918188	6.626509
828	7	8.501789	-3.917692	-6.510401	6.345481	8.501789	-3.917692	-4.342095	1.725918	-7.682206	7.000190	6.151032	1.725918	-2.051127	6.906465	-0.786911	6.345481	-7.675600	7.000189	3.980733	6.345481	-2.310636	0.403333	6.140767	1.725918	-2.303783	0.402714	3.970163	6.345481
885	7	-1.055237	1.619374	7.830348	1.386817	-6.738611	6.482046	7.830350	1.386817	6.422806	-2.907263	-3.730585	1.386817	-1.054344	1.619370	4.737766	6.805333	-6.737721	6.482046	4.737768	6.805333	6.422806	-2.907263	-6.822836	6.805333	-0.163154	6.460455	-0.311173	6.805333
