43	7	-1.456134	-4.028996	3.375975	3.665251	-2.240134	-3.651817	2.262663	-8.311357	8.287915	-3.299183	4.695873	-9.484569	4.391940	-1.867441	7.429652	-1.456134	-5.640111	4.391940	-1.867441	7.429652	4.695873	-4.491252	-0.974695	3.711191	-2.332770	4.695873	-4.448296	-4.218624	8.168140	-3.299181	4.695873	-8.036081	3.375975	3.665251	-2.240134
59	7	4.991561	-12.221525	8.606793	1.445195	0.512501	-6.452473	5.082960	-9.597820	7.097284	-3.094359	4.991555	-7.197706	-3.851756	7.097284	-3.094359	-6.452473	5.082960	-9.597759	6.911059	3.014986	4.991561	-12.221576	8.615861	-4.985414	6.841642	4.991555	-7.197706	-3.851692	6.911059	3.014986	-0.222729	5.074575	-2.888824	0.667097	6.831565
61	7	6.147557	-0.184810	-7.380215	0.172771	7.503605	6.186072	-8.476954	4.141456	-5.464563	7.503703	-4.174987	7.503458	-7.768061	0.172771	7.503605	-4.174987	7.503458	-14.074304	5.478673	3.537932	6.147557	-0.184809	-13.686459	5.478673	3.537932	-4.174987	7.503458	-14.168758	5.937081	-0.674721	6.147557	-0.184809	-13.780913	5.937081	-0.674721
88	7	6.204722	-8.685030	7.302973	-1.234418	6.182084	-4.151315	6.684830	-6.369740	4.666360	4.683193	-4.151315	6.684850	-6.375024	6.838741	0.901290	0.902255	-4.381687	7.278329	-1.234418	6.182084	-3.909349	3.143545	5.235861	-1.234356	6.182082	6.204722	-3.877031	-1.709586	6.838740	0.901290	6.204722	-3.877518	-1.704302	4.666359	4.683193
102	7	7.209834	-11.085697	6.673934	-2.268268	6.353592	-2.648390	6.951998	-11.638998	8.421211	-1.903633	6.238216	1.717674	-8.214236	8.419249	-1.903575	-2.648390	6.951998	-7.033502	2.643004	6.096598	7.191948	-4.663010	-4.840193	8.399142	-1.902964	0.613374	-5.848822	6.633316	-2.243668	6.353581	0.088736	0.533373	4.853499	-0.976572	6.352020
111	7	1.739157	-9.278618	7.148866	-3.204595	6.712826	7.246828	0.507943	-7.019418	6.052299	-3.843275	-4.316875	6.268380	-3.451166	1.557678	6.712690	-4.330375	6.363207	-7.883776	6.073251	-3.843567	7.602260	-9.282322	7.148866	-3.204595	6.712826	1.340421	0.522881	-7.058409	6.053529	-3.843293	-3.701111	4.759271	1.671165	-1.444451	6.712826
127	7	6.624919	-8.931138	7.507348	-2.114147	6.907739	-6.246971	6.761856	-0.355490	-1.492646	6.904156	-0.005942	-3.750754	7.504284	0.495596	0.362515	6.624919	-8.929288	7.504296	0.495596	0.362515	-6.247009	7.091717	-9.834004	6.866610	-5.849340	-0.005940	-3.752607	7.507336	-2.114147	6.907739	-6.246973	6.769725	-0.394448	1.173177	0.221889
143	7	-0.985494	6.032332	-9.215950	6.425127	-4.830607	-0.985494	6.032332	-2.915326	0.803775	6.080133	-0.002562	-5.600539	8.262339	-4.832524	6.080814	6.578475	-7.913261	8.262339	-4.832524	6.080814	5.593410	4.166386	-8.346218	6.424259	-4.830607	6.578475	-1.612740	-3.269326	6.362872	-4.830561	6.578475	-2.449274	1.977015	5.009425	-4.804879
186	7	-5.271292	6.634817	-9.587339	3.095136	2.928464	7.033821	-2.755332	-3.077315	4.762340	-4.859776	1.564176	5.611723	-9.638075	4.850593	-4.921816	7.033821	-2.755343	-2.965369	2.899393	3.076071	-5.271292	6.634817	-9.638077	4.850593	-4.921816	7.035347	-8.411865	5.163117	0.475224	-0.115197	1.564176	5.611723	-9.587337	3.095136	2.928464
197	7	0.941992	-6.405029	8.161699	0.090811	-1.009431	-5.311917	4.874804	-4.747539	5.896161	-6.964755	6.377495	-5.389438	-2.033582	5.896160	-6.964755	6.377495	-10.142968	8.165870	0.090811	-1.009431	6.369414	0.976466	-2.617847	5.896161	-6.964755	0.941992	-6.405029	8.164300	-4.853384	5.430162	6.377495	-10.142968	8.168471	-4.853384	5.430162
