1	2	33.070572	19.699495	60.942292	72.112297	0.258669	0.271715	0.621291	0.485844	0.222131	2.000000	0.024732	27.788101	4.000000	0.010069	11.363266	3.000000	0.051915	36.353090	4.000000	0.022419	0.630357	6.000000	6.139940	0.516940	2.000000	0.011578	1.067538	6.000000	0.017159
2	1	98.776016	10.608650	31.016951	98.597373	0.993658	0.129133	0.327271	0.607528	0.384722	2.000000	0.011668	0.665668	1.000000	0.020553	12.003423	5.000000	0.085141	20.048922	2.000000	0.037462	1.276679	3.000000	65.108259	1.131670	1.000000	0.113274	0.438580	3.000000	0.116911
3	1	38.424263	84.900728	40.087955	73.296006	0.104049	0.998655	0.363497	0.142495	0.755440	6.000000	0.010550	11.556455	3.000000	0.015082	4.203429	3.000000	0.017544	18.576223	4.000000	0.011979	0.308732	3.000000	68.437085	0.774174	6.000000	0.031170	0.129172	4.000000	0.118300
4	2	6.163025	51.151846	93.568893	39.846095	0.407812	0.906678	0.519849	0.314408	0.624614	4.000000	0.030825	42.429059	5.000000	0.014756	46.067308	4.000000	0.016016	33.904228	4.000000	0.011496	0.490076	6.000000	2.197521	0.624749	5.000000	0.175763	0.333255	5.000000	0.015394
5	2	20.653113	79.562037	40.179494	13.994233	0.693740	0.858640	0.722882	0.762691	0.778345	1.000000	0.200150	28.805742	5.000000	0.122960	1.689477	5.000000	0.018825	37.833476	6.000000	0.416862	0.343618	2.000000	88.341128	0.384299	6.000000	0.113582	0.329600	3.000000	0.014466
6	2	32.743770	33.796825	77.491459	45.203563	0.237048	0.253414	0.947244	0.926084	0.212652	2.000000	0.016576	23.589057	5.000000	0.040164	42.671753	2.000000	0.020491	28.358587	4.000000	0.063080	1.046183	4.000000	15.543160	1.082115	2.000000	0.017405	0.896216	1.000000	0.010286
7	2	74.663429	83.603139	67.443580	98.058189	0.717439	0.240368	0.217601	0.528710	0.371910	3.000000	0.032785	29.523906	2.000000	0.076634	3.607001	2.000000	0.010601	52.351364	4.000000	0.041841	1.068924	5.000000	23.285720	0.207093	4.000000	0.031149	0.053774	1.000000	0.029176
8	2	25.792111	49.833064	58.894930	88.038324	0.360667	0.230665	0.266194	0.441481	1.074726	1.000000	0.032468	18.504876	6.000000	0.017237	36.016244	1.000000	0.010036	22.570246	2.000000	0.018571	0.678491	2.000000	66.344810	0.730618	6.000000	0.011626	1.074167	5.000000	0.013311
9	2	39.622046	3.720038	52.912270	46.621222	0.853820	0.272066	0.465865	0.252820	0.583224	6.000000	0.097169	46.126311	1.000000	0.020356	11.831505	3.000000	0.214295	49.967030	3.000000	0.823105	0.484556	3.000000	79.366878	0.593652	6.000000	0.015380	0.623743	5.000000	0.010375
10	2	97.380984	73.887409	94.116703	10.257042	0.521217	0.955218	0.528032	0.956088	0.456459	1.000000	0.010464	39.322973	2.000000	0.013806	13.430397	3.000000	0.010330	38.379060	5.000000	0.031852	0.728195	2.000000	51.982984	0.566771	1.000000	0.015276	0.335178	6.000000	0.024195
11	1	20.160629	43.388870	7.506900	23.137510	0.918432	0.764776	0.414426	0.447275	0.135876	3.000000	0.132101	53.364943	3.000000	0.052935	14.744474	5.000000	0.017524	35.100401	3.000000	0.036913	1.172463	5.000000	11.438919	0.383839	2.000000	0.017018	0.389315	3.000000	0.026474
12	1	36.958925	56.216997	4.511500	48.363122	0.256171	0.403373	0.352477	0.199011	0.795747	6.000000	0.095569	1.135727	5.000000	0.010238	1.307535	1.000000	0.010525	35.506883	6.000000	0.102005	1.091573	5.000000	37.338544	0.976868	6.000000	0.142124	0.444269	5.000000	0.021701
13	2	12.552371	40.564172	53.691226	93.996774	0.992199	0.266570	0.791681	0.113377	0.020217	6.000000	0.010738	52.455539	4.000000	0.020165	16.612589	6.000000	0.018422	7.105473	4.000000	0.025834	0.061795	4.000000	81.530382	0.831479	3.000000	0.040750	0.203457	3.000000	0.010833
