1	1	100	-2.144087	5.637924	-0.494133	0.456569
2	1	100	6.406909	-8.042573	7.406978	4.743901
3	2	85	5.885911	-4.606900	6.561410	1.434636
3	2	15	-0.044911	6.653679	3.009248	-3.476017
4	2	48	6.819420	-0.823006	5.129816	4.068497
4	2	52	1.106588	7.038982	1.766015	-1.786830
5	2	69	5.672009	-0.074621	8.207905	3.662131
5	2	31	-0.497741	7.962404	2.949508	-1.233561
6	2	71	3.446661	6.811848	-1.251453	3.767167
6	2	29	8.124784	1.445126	5.109097	7.816547
7	1	100	0.916182	5.290003	1.938828	3.247130
8	2	33	-1.598664	1.919594	6.925389	4.888725
8	2	67	-1.598667	8.071714	0.294203	1.672967
9	1	100	1.166325	8.192173	1.875136	0.126855
10	2	85	-0.927172	6.512800	-0.997243	-0.891081
10	2	15	4.130336	1.263747	5.042213	4.923567
11	1	100	2.226645	5.589756	1.733168	2.100798
12	2	59	0.007618	6.844439	2.835247	1.833219
12	2	41	6.150271	-0.957481	7.653531	8.158392
13	2	83	1.187338	3.214305	7.503390	6.455882
13	2	17	-3.600155	7.994951	2.844214	2.297384
14	1	100	-0.877480	6.370883	1.823765	4.475857
15	1	100	1.502666	6.431067	-1.691296	0.423121
16	2	98	6.771102	-1.807166	5.909064	7.666196
16	2	2	2.188237	5.732497	3.789871	1.477941
17	1	100	5.550679	2.547602	7.760780	1.095767
18	2	66	3.416453	7.162852	0.380792	-1.368278
18	2	34	7.072271	-2.782784	6.775908	4.678303
19	1	100	-1.292338	7.271076	3.330967	4.150114
20	1	100	6.808192	-4.345041	7.937586	6.605207
21	2	88	0.360659	6.294252	-0.612355	3.059845
21	2	12	6.559357	1.136809	4.612915	7.363053
22	2	28	6.126014	-2.109440	4.065826	7.259927
22	2	72	0.913740	5.278636	1.864229	2.723615
23	1	100	1.619412	6.992143	1.765588	1.750540
24	2	81	1.807139	6.691208	0.459947	4.101110
24	2	19	7.321421	-1.454457	6.557263	7.203593
25	1	100	-0.225813	5.128253	-0.852201	1.907176
26	2	91	3.172674	7.895465	3.832427	5.542789
26	2	9	6.228201	-1.357602	6.447223	9.316884
27	1	100	0.403806	6.608179	0.456044	4.319189
28	2	93	1.975834	9.212852	2.042527	0.176022
28	2	7	7.379390	0.367793	6.646196	6.474095
29	1	100	7.241663	0.585667	8.240532	5.951495
30	1	100	-0.614148	7.237020	0.226401	2.441941
31	1	100	-0.436370	7.810983	1.339958	2.291150
32	2	83	6.714328	2.083832	1.876934	4.897678
32	2	17	1.371368	6.415143	-0.621024	1.125881
33	2	73	7.904379	-0.534460	6.088871	6.004442
33	2	27	1.355513	6.659565	3.773697	-0.307830
34	1	100	-0.697633	6.629998	1.796054	1.700352
35	2	86	7.374527	-1.793929	6.697281	6.191349
35	2	14	1.112505	6.116741	0.647231	0.810789
36	1	100	5.059206	-1.349309	6.952864	5.547769
37	1	100	-0.416029	6.700840	-0.339503	3.136665
38	2	76	1.786451	6.474330	2.688313	-0.195933
38	2	24	6.759671	0.593830	6.223734	5.296085
39	1	100	1.347010	5.697454	2.472190	1.206223
40	1	100	0.336537	7.786171	4.975798	0.346700
41	1	100	6.158962	0.834960	7.486252	1.420951
42	2	58	-4.458186	9.185846	2.318003	0.524636
42	2	42	0.778963	2.889894	7.525312	0.587838
43	1	100	6.993315	-0.532028	4.763805	6.570910
44	1	100	5.119143	2.289156	2.343586	7.281902
45	2	46	1.900332	2.107469	6.201725	4.030069
45	2	54	-0.510900	5.524447	0.523105	0.012565
46	2	80	5.620444	-4.151774	7.614852	7.562226
46	2	20	0.008018	6.372676	1.446371	4.351453
47	2	49	2.620094	5.659066	1.242807	0.897017
47	2	51	8.263372	-3.597765	5.767879	6.459913
48	1	100	0.589957	7.562741	1.415732	1.039322
49	1	100	6.541996	-6.026774	8.053464	7.358403
50	1	100	3.140600	-2.820468	8.067173	5.849298
51	2	64	7.391023	-2.018356	6.729386	7.173772
51	2	36	1.128464	6.090212	0.433328	1.535538
52	1	100	7.857226	-0.100895	3.771396	6.095640
53	2	59	7.516919	-3.272941	6.367262	4.574638
53	2	41	2.812028	8.435995	0.341863	-0.250213
54	2	79	0.780214	9.543559	2.235700	1.730496
54	2	21	6.598258	-1.768395	7.564121	8.048256
55	1	100	-1.525713	7.985801	2.599636	0.638504
56	1	100	-1.682744	6.362948	-1.527851	3.039676
57	1	100	6.520771	-6.158486	6.265144	2.153110
58	2	73	-0.667890	5.588066	2.136845	1.913895
58	2	27	4.947710	-1.613914	6.881317	7.619626
59	2	80	-2.091065	7.050297	2.536452	0.456238
59	2	20	4.392847	1.540940	7.065157	6.707234
60	2	39	4.456831	6.141724	2.980889	0.726726
60	2	61	7.478968	-3.418157	6.227197	6.554561
61	1	100	-0.192206	5.292863	1.612142	1.871308
62	2	75	8.448210	-3.041156	7.611026	4.929567
62	2	25	4.194311	6.646678	2.209421	0.699945
63	1	100	0.008916	6.330598	-0.777327	3.431463
64	2	49	0.901339	5.763885	3.429600	4.088050
64	2	51	6.936046	-1.917854	8.156402	7.307837
65	2	97	7.238265	-4.769074	8.791117	7.437727
65	2	3	1.530076	5.594864	3.058650	3.345380
66	2	86	7.266159	-3.312192	7.064175	6.145975
66	2	14	1.133551	5.860511	1.304194	-0.336660
67	1	100	4.208245	8.553799	-0.579799	2.080503
68	1	100	0.805913	4.556078	2.759181	1.989778
69	1	100	9.226640	-4.104095	6.199154	9.189599
70	1	100	-0.188005	7.819446	-0.807437	0.525139
71	2	23	1.737040	1.416400	8.138282	5.677521
71	2	77	-2.455335	7.251957	2.116263	2.944599
72	1	100	4.534930	-0.125829	6.269212	7.818519
73	2	26	6.658111	-2.982455	7.079514	6.616492
