9	4	-5.403035	-2.465606	-1.213544	4.455314	2.994994	-1.004422	-4.675086	1.630337	0.413350	-3.889511	6.010260	-0.280212	-4.968586	-1.160572	-0.431357	4.204697	-4.260180	3.247593	-1.481847	-2.842266	-4.316731	-1.610961	1.990445	4.877055
13	4	-0.241639	5.141584	-2.898855	-1.853512	-2.497791	3.829752	-2.401639	1.016133	4.541370	-5.991290	5.771636	-1.855326	1.951630	6.978645	-3.530789	-3.422155	1.900507	-2.948072	-0.782154	3.945341	4.647465	-2.141846	-1.265383	-1.342895
35	4	2.908216	-9.984959	3.782335	-10.117379	0.818631	1.545708	0.010565	-3.231526	6.040338	-6.811429	4.011711	-4.294446	10.086736	-3.443688	0.209847	-0.884565	-1.891987	-0.211007	6.124051	-4.265304	2.808781	-6.340894	-0.954083	0.327712
37	4	4.445034	-2.884334	4.106332	-2.262026	-2.872076	-4.449399	-1.031664	-3.336950	4.707271	2.195821	-2.302512	-1.764634	5.198236	2.969412	-2.038272	-8.827356	-3.898092	-1.780613	10.042192	-3.527810	-1.923366	-5.661991	-6.740750	2.593726
38	4	3.923614	6.751038	-0.130523	-1.544432	-6.706513	-4.880512	-1.837329	-2.955341	4.289676	-2.106319	-1.250111	4.987118	4.005430	6.601875	-3.529200	-2.114723	-1.470482	-2.458281	-2.889572	-0.582740	4.092967	-6.127378	4.099654	-1.502217
39	4	7.037328	3.261152	-2.108130	-7.089952	-1.228533	-2.555855	-2.906968	4.010006	3.477118	0.656512	-5.048195	0.010427	0.063907	4.579895	-1.566679	-3.735556	-1.693349	2.299553	3.819967	-2.300701	6.038384	-4.968267	-2.161196	-1.291756
40	4	-3.445222	-4.279865	2.237855	2.189211	2.392240	-2.287620	-4.384172	-0.030109	4.930960	-1.431066	4.886006	-5.468929	1.692312	-3.793397	3.044999	-4.193601	1.338717	-3.017331	2.283271	-2.720932	0.531842	2.970413	-1.135469	-5.599890
41	4	2.930267	-2.738741	-7.040279	1.871739	3.803910	-3.899851	-1.880460	7.592853	-4.178747	3.695799	0.376731	-0.859763	-1.268124	6.899166	-4.428035	-2.195108	-0.431954	5.588431	6.912594	2.084277	-8.074992	-1.434403	1.742054	-5.129732
43	4	4.391519	-9.432375	-5.772910	8.039582	0.183187	-3.416895	0.289076	-4.287765	5.306510	8.055486	-2.684214	-1.674035	-5.115280	-8.366835	0.689057	6.640817	5.021401	-1.274991	-0.028808	-6.514353	-3.184791	5.022575	-1.348436	2.713055
48	4	-3.084988	0.216234	-6.338362	0.136040	2.917715	5.702138	-1.933822	4.034679	-1.858699	-5.162313	-1.970663	6.751507	-4.375825	4.080925	1.352795	-4.783434	1.161397	-2.325195	-4.305644	0.083202	-7.900220	4.362557	0.315661	2.288968
58	4	-2.802070	4.302820	3.534866	-7.575407	1.201361	-8.085881	3.841813	-4.397541	0.578092	-5.008348	5.624322	-6.860874	3.896118	0.059233	-1.586374	-3.076634	5.783099	-11.793376	0.018491	-0.922464	4.148213	-9.425234	5.717398	-9.799018
65	4	-3.008908	5.469622	-5.036947	-1.940834	-0.855980	3.578099	-7.037462	-3.657429	-5.463085	3.557696	1.267025	2.892124	5.173029	5.580232	-3.742618	-0.750629	-4.301028	-1.995049	-2.412518	3.294683	-3.208148	3.967970	-3.555919	-0.253245
66	4	-4.605547	6.836661	-4.126783	3.366386	1.300627	-3.695340	4.719842	6.893683	-5.000087	-2.566105	-1.774945	-2.915072	-2.365520	5.732317	-1.345817	0.048160	-0.783507	3.377497	6.008421	0.930836	2.750529	-0.725292	-4.504939	-4.321807
84	4	4.796876	-5.091151	3.987984	-2.766090	-2.367812	-1.924806	8.469803	-4.044269	-1.757185	-1.503442	2.286554	-1.934014	4.956000	-5.006826	-1.041524	-2.020670	-1.518457	3.591126	-2.484468	-5.421267	5.491814	-2.289500	-0.800107	3.940238
92	4	6.318075	-3.004913	0.601045	-5.372907	-6.367572	5.589817	0.205205	7.620299	-6.937868	4.338421	-2.305541	-2.728067	5.872230	-2.963633	3.087931	-2.774624	-5.277107	-0.236175	0.328011	4.622556	-12.920910	-1.353193	3.399590	-2.387609
105	4	6.460321	-7.104067	-4.695348	3.247403	1.662727	-3.789114	-1.758854	-3.376976	-0.406520	7.280122	4.059913	-0.167371	2.850851	-5.948298	4.919827	-1.592207	0.938940	-0.549063	-2.149785	3.965178	-0.541182	-2.684785	-3.697406	5.446951
123	4	-2.589489	2.996414	0.027979	-3.968378	5.351507	-3.867086	-0.924765	4.594265	-3.873953	4.013640	0.147434	-4.737861	-1.986729	-0.924746	-0.964126	-4.999251	6.005739	1.967474	3.530548	0.396171	-1.977535	-3.492147	-1.395242	2.446450
136	4	-6.637459	-4.635001	-1.954422	-2.313447	6.681758	6.672310	-1.014543	-2.681801	5.908341	4.633940	-5.748776	-0.734803	5.310924	-4.817681	-0.173888	5.218952	-4.497027	-2.291275	-1.585431	-8.772724	-0.753473	4.093663	0.010708	4.181239
159	4	-0.529981	-9.007079	-4.440793	7.147890	4.729884	-0.444622	-3.302238	-8.085045	-1.261245	5.196669	-0.352228	5.179060	4.531502	-6.062566	-3.060623	4.149241	-3.798225	0.906409	0.110047	-4.082028	-3.330519	5.193575	-3.026200	4.469032
186	4	-2.298294	-4.554626	4.790964	-4.624191	-1.445178	3.836031	-2.290652	-0.863972	5.219426	-6.923728	3.174610	-2.462454	-0.784773	-3.552508	-0.727112	-3.330897	3.719254	4.018290	3.681612	-3.974194	-1.158689	-2.497216	6.395312	-2.487027
220	4	-5.331333	5.332065	-2.220109	-0.311497	-2.903393	3.093851	-4.494618	-0.942617	-6.089216	-4.943924	3.646410	7.091858	4.348550	5.498334	-3.962645	-2.517910	-1.326679	-2.655575	-4.863284	-4.189263	-2.335832	3.589052	0.448373	6.636954
228	4	-1.098106	6.415744	-7.629934	-3.441705	-0.242591	4.341468	4.491425	6.145906	-1.555698	-1.326777	-1.279105	-4.031088	-1.338463	7.499592	-2.492441	2.877040	-4.924763	-0.940526	-0.826437	4.619029	-3.088323	-0.954251	3.631809	-3.717683
236	4	3.552154	-0.984856	-3.247857	-2.851931	5.230699	-1.676705	5.766545	3.166297	-4.297896	-1.439844	-2.643445	-2.196133	0.748436	5.064458	-7.807286	-7.929998	2.919128	-6.740919	4.408183	-0.925039	-6.692166	-4.142656	-1.964388	3.528315
