1	4	57.019714	906.703052	13.291848	99.484263	61.615935	0.416987	0.265627	0.858563	0.254616	0.740653	3.663797	1.000000	0.056460	4.362909	6.000000	30.041547	4.821179	5.000000	0.166962	0.711772	5.000000	0.021774	10.833636	4.000000	0.015001	13.390127	6.000000	0.026788	2.663792	1.000000	0.033392	12.448227	3.000000	31.548395	9.213748	2.000000	0.013197	17.372429	5.000000	13.257399	4.767392	4.000000	0.017506	5.707009	6.000000	19.876676
2	5	86.695819	555.436552	17.248046	29.736269	68.191434	0.525116	0.538387	0.552432	0.770966	0.348046	0.783303	2.000000	0.012246	8.551455	3.000000	21.045783	0.665042	4.000000	0.017371	12.898845	3.000000	0.015319	18.973387	4.000000	0.010780	12.894441	4.000000	0.020613	8.311684	6.000000	0.022587	8.111193	5.000000	64.177612	5.757029	4.000000	0.010225	5.913161	2.000000	61.239727	0.284333	1.000000	0.010515	9.948891	6.000000	74.089299
3	3	22.471638	649.293379	14.968155	51.659472	90.824516	0.522411	0.197465	0.221522	0.653831	0.908438	6.332780	1.000000	0.010063	11.276360	2.000000	34.984758	0.559775	5.000000	0.018854	19.158368	3.000000	0.047254	4.284812	5.000000	0.013866	6.292258	4.000000	0.034810	1.446984	6.000000	0.012435	11.933145	1.000000	50.483942	0.599572	5.000000	0.063630	17.922242	2.000000	27.549599	2.288537	4.000000	0.032941	6.517578	2.000000	45.781285
4	5	83.577675	375.978158	16.120025	17.020312	27.507239	0.726646	0.714756	0.386611	0.738175	0.269729	1.026901	3.000000	0.028780	17.579587	3.000000	28.877134	8.957606	1.000000	0.010569	10.587843	2.000000	0.010275	15.258122	1.000000	0.017268	6.707123	5.000000	0.015587	6.567233	2.000000	0.040327	16.615371	5.000000	77.283012	5.275847	6.000000	0.019625	4.974678	6.000000	81.285070	3.120145	5.000000	0.018347	2.834720	6.000000	42.054859
5	2	13.946534	514.391043	38.688635	39.601332	70.762843	0.973248	0.646613	0.954582	0.719927	0.615625	5.629052	6.000000	0.010858	9.891009	5.000000	83.325517	2.298908	4.000000	0.016247	17.807930	3.000000	0.030632	6.007614	4.000000	0.022351	1.483248	4.000000	0.011297	1.409300	4.000000	0.078746	8.292286	1.000000	34.738058	3.068611	6.000000	0.171339	14.186846	6.000000	70.081729	2.115034	4.000000	0.012046	4.660368	5.000000	72.474916
6	5	89.613974	742.595696	28.469639	91.113936	24.216883	0.836870	0.450986	0.277046	0.577441	0.281924	6.182623	2.000000	0.019089	17.393266	5.000000	69.071502	4.341693	3.000000	0.013252	18.878028	6.000000	0.012519	10.948752	2.000000	0.049269	10.566402	3.000000	0.035162	9.428675	1.000000	0.011940	16.879285	5.000000	6.461062	1.374853	4.000000	0.014105	6.229703	6.000000	56.236761	2.473984	4.000000	0.014889	16.037431	3.000000	60.884356
7	7	83.236306	111.034357	19.064735	65.514868	1.704278	0.559660	0.955289	0.512180	0.464900	0.497677	7.827522	6.000000	0.012866	15.174495	6.000000	68.225765	10.534132	5.000000	0.019167	15.472429	5.000000	0.038784	12.091746	2.000000	0.017528	14.611495	3.000000	0.026499	9.370466	3.000000	0.019695	13.522434	5.000000	51.773222	7.975941	2.000000	0.018141	14.124681	6.000000	77.201589	2.466022	3.000000	0.016912	5.565750	1.000000	42.981637
8	4	85.898962	825.203791	36.293301	17.965010	58.729489	0.967367	0.825344	0.458939	0.325398	0.751818	1.857280	5.000000	0.027490	0.428637	3.000000	47.185203	2.559594	5.000000	0.043087	3.138731	3.000000	0.021100	6.114509	3.000000	0.050946	11.783729	4.000000	0.026096	6.119587	1.000000	0.016522	12.191407	1.000000	21.346742	3.512833	4.000000	0.021788	7.137327	2.000000	68.064760	5.142140	2.000000	0.015240	17.250589	6.000000	81.912412
9	4	70.951346	565.728707	73.179853	65.496503	66.897905	0.677377	0.198716	0.939422	0.481868	0.809243	6.225910	3.000000	0.028527	17.016341	2.000000	37.011498	2.062837	4.000000	0.010797	18.954697	4.000000	0.012394	2.033083	6.000000	0.103162	15.723288	2.000000	0.103261	1.078030	5.000000	0.010890	14.874306	5.000000	78.160794	1.353464	1.000000	0.010189	12.840512	1.000000	89.359188	3.728784	4.000000	0.034081	13.549312	2.000000	72.898565
10	1	61.131320	172.634843	85.285761	87.855952	42.411549	0.413677	0.890459	0.176842	0.380651	0.880315	7.994176	3.000000	0.013713	3.746556	5.000000	52.554467	15.063260	3.000000	0.015919	16.196992	3.000000	0.072381	5.380281	4.000000	0.020238	14.880480	6.000000	0.018543	0.640934	3.000000	0.433390	0.355305	5.000000	11.960576	8.845105	5.000000	0.016695	14.387690	1.000000	63.590767	0.592526	1.000000	0.012798	11.380007	5.000000	2.525460
