1	1	92.897600	50.084259	56.021692	37.248032	0.942419	0.654618	0.638919	0.605652	3.578483	4.000000	0.010119	24.711573	2.000000	0.019242	23.326534	1.000000	0.011349	143.298726	2.000000	0.043343	0.826408	1.000000	0.044666
2	1	3.021217	20.529502	46.995973	38.162174	0.573327	0.447117	0.822110	0.779628	2.744904	2.000000	0.014654	5.598220	2.000000	0.059792	43.884971	5.000000	0.028201	125.257549	2.000000	0.486805	0.227816	3.000000	0.013581
3	2	73.441693	20.836512	10.816345	97.395228	0.569456	0.440774	0.230096	0.858189	0.739014	2.000000	0.067720	24.692339	5.000000	0.030313	14.959651	6.000000	0.010326	47.003989	1.000000	0.011832	1.060580	3.000000	0.013508
4	2	68.307092	19.537264	17.984099	79.084053	0.594797	0.629653	0.427084	0.528440	1.753305	6.000000	0.086685	44.505825	5.000000	0.059930	36.657415	5.000000	0.023049	151.254188	6.000000	0.010953	2.969362	6.000000	0.568526
5	1	92.897600	50.084259	83.971487	56.021692	0.916420	0.160701	0.942419	0.654618	1.718143	4.000000	0.154196	39.583082	4.000000	0.011349	32.808203	1.000000	0.021877	170.158211	6.000000	0.017873	1.463994	1.000000	0.066118
6	1	48.109138	87.407459	1.521085	41.912242	0.795813	0.340519	0.582826	0.917037	1.657951	6.000000	0.112911	29.130124	3.000000	0.013557	16.051205	2.000000	0.234395	70.615591	3.000000	0.161806	1.259228	5.000000	0.063202
7	1	20.299350	79.630791	59.639582	22.053977	0.797234	0.169137	0.971631	0.326203	1.297216	1.000000	0.056259	15.328506	2.000000	0.014735	42.985610	5.000000	0.018132	108.621595	5.000000	0.035407	1.242853	5.000000	0.010147
8	1	7.058069	81.047929	29.079129	38.344178	0.474509	0.571886	0.541120	0.283813	2.507170	1.000000	0.011464	21.580880	3.000000	0.021122	56.189259	1.000000	0.016912	37.901951	5.000000	0.018661	0.390222	1.000000	0.033521
9	1	10.114500	88.340163	33.741439	4.199692	0.206287	0.600938	0.403520	0.815153	3.516449	4.000000	0.019027	20.006023	3.000000	0.017983	40.362071	1.000000	0.025255	84.995387	3.000000	0.197321	1.641636	2.000000	0.018111
10	2	84.924946	30.565525	30.159369	33.104018	0.646308	0.731415	0.952372	0.827846	1.022501	3.000000	0.012719	20.274665	3.000000	0.019523	14.562010	1.000000	0.212113	90.679678	2.000000	0.016844	1.327879	4.000000	0.043706
11	1	14.278552	99.668714	42.634176	55.959451	0.362747	0.802024	0.820272	0.268540	1.100140	4.000000	0.035655	28.751032	4.000000	0.010892	53.556245	1.000000	0.080943	29.908985	4.000000	0.014290	1.787531	1.000000	0.011417
