38	8	7.227613	-9.409208	3.957920	1.443334	8.589759	-0.686514	0.834259	-4.323528	3.957869	1.443334	8.589759	-0.686514	-2.794192	8.288387	0.792570	-0.745139	-8.780164	5.953886	-2.665024	2.323657	0.965033	5.950767	5.279779	-0.666204	7.227613	-10.297470	3.957920	7.885762	8.589759	-0.686514	-2.794192	7.395138	0.792574	5.696863	-8.780164	5.953886	0.834259	-5.213052	3.957912	7.885762	8.589759	-0.686514	-2.792175	3.336399	0.814313	-0.727709	3.975512	-0.407561
135	8	-7.836106	10.811167	-3.534822	-4.670318	-11.018513	4.807594	-2.047703	-7.093696	6.688892	6.715586	-5.626758	4.806999	-2.140389	-1.193878	6.068714	-0.085503	-5.808062	4.807131	-2.131888	-1.265479	6.095188	0.021871	3.879367	0.868602	4.531814	-5.418940	6.661791	1.019556	4.044761	0.850332	4.532089	-11.229805	6.700671	6.715594	-5.623641	4.806996	-2.047700	-7.161948	6.689467	6.715587	4.052118	0.849607	4.531787	-5.350695	6.659895	1.019513	-5.634485	4.807005
175	8	-3.764273	10.374949	-5.657565	-5.232215	-12.215931	7.498614	7.464059	-7.800980	0.579746	-0.153478	5.017990	1.174354	7.461250	-4.418141	0.579746	6.376558	-6.440740	7.498614	7.464085	-10.938560	0.579746	6.376562	5.019775	1.174345	7.464012	-7.058985	6.924374	-0.153478	-6.423311	7.498614	7.464084	-10.196429	6.924374	6.376562	-6.420340	7.498614	7.464085	-13.579408	6.924374	-0.153478	5.019968	1.174344	7.464085	-16.716853	6.924374	6.376562	5.020000	1.174344
217	8	1.395289	-10.722920	1.230079	6.087034	5.641864	0.164507	-4.444069	8.313885	-5.226105	-5.485347	-8.719674	6.211587	7.707542	-15.880684	1.230079	6.087034	5.641864	0.164507	1.395289	-16.514542	6.853848	6.087034	5.641864	0.164507	7.707542	-9.819320	1.230079	6.087034	-2.413688	6.152050	7.707542	-15.615041	6.853848	6.087034	-2.413688	6.152050	1.395289	-10.456543	6.853848	6.087034	-2.413688	6.152050	7.707542	-21.670664	6.853848	6.087034	5.641864	0.164507
259	8	-1.161893	-8.136597	5.899489	1.436009	7.978671	0.734260	-7.302250	5.759496	-4.755134	-4.567896	3.385598	0.734458	-7.302298	9.166673	-4.755134	-4.837341	-7.885237	6.881938	-1.161893	-9.198633	1.319088	6.562927	7.980167	0.734260	-1.161893	-15.176503	5.899489	6.577834	7.981522	0.734260	4.874086	-17.995057	5.899489	6.578042	7.981541	0.734260	4.874086	-12.344350	1.319088	6.576356	7.981388	0.734260	4.874086	-11.565985	5.899489	1.465897	7.981277	0.734260
260	8	-5.273228	9.446281	-4.191853	2.872115	-6.442810	6.731991	6.492809	-8.830082	-0.291904	8.707811	6.616190	1.286145	0.063903	-1.443719	6.035846	8.705371	-1.060980	6.724011	0.089506	-5.836627	6.035848	8.707811	6.616189	1.286145	0.082683	-2.398053	-0.291904	8.707637	6.615341	1.286147	6.492810	-12.160117	6.035848	8.707811	6.616190	1.286145	6.492807	-8.137211	6.035848	8.707811	-1.054595	6.723905	6.492564	-4.803159	-0.291904	8.707810	-1.054601	6.723905
275	8	5.511623	-14.158139	8.921792	2.547525	6.135953	0.941271	-6.291823	9.814132	-0.570123	-3.686456	-11.686112	6.374357	5.509848	-8.342898	8.920450	2.547525	0.246835	5.975207	5.511630	-14.516085	8.921798	6.249393	0.246835	5.975207	-2.038571	4.501863	6.135586	-3.652595	-11.685974	6.374357	5.509377	-8.008971	8.920094	2.547525	-5.081110	6.374070	5.511655	-20.331324	8.921816	6.249393	6.135953	0.941271	5.511624	-14.182158	8.921793	6.249393	-5.081110	6.374070
294	8	6.644891	-4.540819	0.531990	7.119100	-3.190537	5.544486	6.699491	-6.554151	0.531991	1.180541	6.655331	-0.773894	-1.279316	10.243202	-5.446672	-4.670471	-9.549273	5.544486	4.959298	4.310370	-5.446670	-4.646306	-9.549262	5.544486	6.711779	-8.088826	6.378374	1.180541	6.655331	-0.773894	6.717608	-11.269299	0.531991	7.119100	6.655331	-0.773894	6.718063	-12.693268	6.378374	7.119100	6.655331	-0.773894	6.696967	-6.370459	6.378374	7.119100	-3.190537	5.544486
306	8	0.495694	-10.868936	7.399200	-0.153252	6.610652	-0.778596	6.972569	-16.371200	7.399200	5.750337	-2.277715	3.387181	0.495694	-17.327580	7.399200	5.750337	6.610652	-0.778596	0.273928	0.695458	7.185495	-3.619909	-5.121692	3.445043	6.972569	-9.842581	7.399200	-0.153252	-2.277715	3.387181	6.972569	-22.126473	7.399200	5.750337	6.610652	-0.778596	6.972569	-15.736285	7.399200	-0.153252	6.610652	-0.778596	0.495694	-11.528884	7.399200	5.750337	-2.277715	3.387181
362	8	-6.869623	5.398047	-2.151470	2.559021	4.055843	1.150460	-1.102633	-12.863625	7.549419	6.203779	8.856303	1.150370	-1.102636	-8.580946	7.548358	6.203779	-1.192816	7.709909	-7.051373	9.581857	-3.731680	2.557655	-6.005039	7.710617	-7.051428	9.652691	-3.740102	-3.697623	-6.005039	7.710617	5.024296	-11.518830	7.549331	6.203779	-1.192816	7.709909	5.024296	-15.801508	7.549469	6.203779	8.856303	1.150370	-6.885787	5.469282	-2.199485	-3.695881	4.055320	1.150460
