1	2	94	6.112467	-0.676289	-1.598976	8.038936
1	2	6	6.112467	-0.676289	4.444770	8.038936
2	1	100	6.645434	-1.622293	6.922262	7.737109
3	1	100	1.556301	4.953743	-0.401150	-0.267110
4	1	100	0.996524	6.106364	-3.084987	3.147818
5	4	34	5.042453	-4.687247	7.168999	5.357957
5	4	62	5.042453	-4.687247	1.583811	5.357957
5	4	2	-1.124177	4.063057	5.246733	0.633767
5	4	2	-1.124177	4.063057	-0.370997	0.633768
6	1	100	-2.050954	8.642873	-7.204693	-0.737322
7	3	81	0.630381	7.489435	-5.820042	3.601429
7	3	15	6.669602	-0.429348	0.135663	6.198982
7	3	4	6.669602	-0.429350	5.726755	6.198982
8	2	67	3.758622	6.457878	2.621262	2.994760
8	2	33	5.738155	-2.168930	6.023328	6.835584
9	1	100	5.493886	-4.295109	6.693284	6.780041
10	1	100	4.028045	-0.342692	-3.077728	7.591255
11	1	100	3.505382	2.903582	-1.842111	5.608858
12	1	100	2.098959	7.289247	1.425030	1.944175
13	2	62	1.695941	6.374823	-6.162681	2.545835
13	2	38	5.569682	-1.974217	6.082663	5.580934
14	2	51	4.289027	-2.872662	0.397603	7.303670
14	2	49	4.289027	-2.872662	6.958369	7.303670
15	2	50	1.229729	5.369555	2.687584	2.025156
15	2	50	1.229729	5.369555	-3.357076	2.025156
16	3	73	2.330933	6.553766	-2.234899	3.625057
16	3	11	7.888768	-3.815638	6.202465	7.153814
16	3	16	7.888768	-3.815638	-0.060375	7.153814
17	1	100	2.801031	5.400183	-3.364508	3.484680
18	1	100	-0.666172	7.515124	-6.633156	1.137149
19	2	59	2.229862	3.482940	-3.895134	2.336364
19	2	41	5.996079	1.183715	6.693632	4.241706
20	2	85	7.055118	-2.901062	7.301369	7.689767
20	2	15	1.267111	5.246905	-3.410157	4.165698
21	1	100	-1.074932	4.849954	-2.377623	-0.326918
22	1	100	3.627049	6.907065	-5.403981	-1.078215
23	3	10	6.054331	3.449600	-3.284543	2.569177
23	3	89	2.232624	8.948935	-3.293457	0.096085
23	3	1	6.748162	2.848885	-3.246981	5.032900
24	1	100	1.204622	6.998463	-5.426505	1.847624
25	1	100	-1.482645	6.794955	-4.407617	0.008846
26	3	22	8.408089	-0.630180	9.197546	4.599139
26	3	39	3.544496	8.502037	-2.055693	-1.361748
26	3	39	3.544496	8.502037	4.219911	-1.361748
27	1	100	1.240389	5.368191	-4.922724	6.110695
28	4	23	2.915937	7.208381	-1.250104	1.685567
28	4	21	2.915937	7.208381	5.183865	1.685567
28	4	24	7.276528	-0.754976	0.532393	8.201346
28	4	32	7.276528	-0.754965	6.935262	8.201346
29	1	100	2.421652	8.902917	-6.520700	-2.181519
30	3	81	-0.875280	6.499606	-4.314944	0.911762
30	3	16	5.257544	0.535078	1.001305	6.124863
30	3	3	5.257544	0.535078	6.790683	6.124863
31	2	77	4.912103	0.448838	8.121254	7.558901
31	2	23	-0.626448	6.495207	0.514454	3.055584
32	2	67	-0.244502	7.282586	4.932103	0.135223
32	2	33	-0.244502	7.282586	-0.864459	0.135223
33	2	92	8.028605	-2.755586	8.476637	5.280972
33	2	8	4.344744	5.613302	-2.203322	-0.209099
34	1	100	0.673646	7.210618	-4.823150	-3.077175
35	2	27	0.816617	8.127430	-3.171329	1.611591
35	2	73	6.852472	0.384974	9.426638	7.817041
36	2	39	0.567704	6.136072	3.936410	-2.076879
36	2	61	0.567704	6.136072	-2.068261	-2.076879
37	1	100	1.272886	5.842918	-4.938601	3.857396
38	2	45	2.540766	-0.979027	7.034238	8.220103
38	2	55	2.540766	-0.979027	1.919625	8.220103
39	2	42	-0.244536	6.650978	-3.657456	-0.869846
39	2	58	6.209908	-1.869120	8.043507	5.594462
40	2	43	2.042899	7.313618	0.508775	-0.175148
40	2	57	7.646908	-1.094576	6.727340	6.224803
41	1	100	1.598140	7.113954	-3.935299	0.134764
42	1	100	-1.523242	7.926487	-4.111692	0.277963
43	1	100	5.542657	-0.406112	5.946290	6.663871
44	1	100	-1.239084	7.489502	-5.259540	0.904113
45	3	61	7.567619	0.552228	-0.649880	6.199251
45	3	24	3.011709	5.670924	-2.977397	2.801627
45	3	15	7.567619	0.552228	5.427805	6.199251
46	2	45	4.709406	6.446618	-3.903702	1.911903
46	2	55	6.781787	-2.704685	7.018394	7.075996
47	1	100	4.354509	6.958678	-9.649537	0.326791
48	1	100	2.235528	6.044857	-3.267598	1.265301
49	1	100	-0.715826	6.274528	3.588727	2.002652
50	2	33	6.071218	1.135730	-2.396354	8.564928
50	2	67	0.888773	9.044415	-2.668144	2.196488
51	1	100	1.313166	7.608843	-5.690269	1.062599
52	1	100	8.289181	-4.983561	6.460825	5.028487
53	2	99	7.195649	-4.745289	7.588699	6.723331
53	2	1	3.621375	5.596521	-4.490903	3.201765
54	1	100	0.984935	7.000545	-3.960065	1.720457
55	2	79	0.055896	6.193161	-4.072452	-0.954904
55	2	21	6.015250	-0.370017	0.063115	5.631046
56	2	67	5.984972	-0.416882	5.797826	4.889589
56	2	33	0.540686	6.206659	-6.944257	-1.695507
57	1	100	7.218723	-0.061163	8.305410	6.413706
58	1	100	5.493699	-1.804968	5.953801	5.455213
59	1	100	-3.234967	5.034220	-1.251222	2.229425
60	1	100	-0.789788	5.851190	-3.567570	-0.499217
61	1	100	3.135395	7.410838	-5.096616	1.224268
62	1	100	1.085853	8.079893	-3.255804	-1.727024
63	1	100	1.337781	7.531015	-4.576887	0.977006
64	2	90	3.648435	-1.594508	8.744531	6.954948
64	2	10	-2.615979	5.009090	-2.221947	2.491343
65	4	16	2.811850	3.813852	-2.001020	6.009814
65	4	8	1.720059	6.445226	2.820621	2.347041
65	4	72	2.811850	3.813852	2.889075	6.009814
65	4	4	1.720059	6.445226	-2.066412	2.347041
66	3	21	6.741808	1.384292	0.852667	6.812622
66	3	71	0.374423	7.280465	-4.802391	1.805358
66	3	8	6.741808	1.384292	6.653023	6.812622
67	2	94	7.019893	-0.977049	-1.401401	6.556843
67	2	6	7.019893	-0.977049	4.770033	6.556843
68	1	100	1.466774	8.890022	-1.055821	2.727503
69	3	78	1.639874	8.835880	-4.410159	2.524656
69	3	21	7.749484	-1.791564	1.605289	7.285224
69	3	1	7.749484	-1.791564	4.566983	7.285224
70	3	41	1.146676	6.855232	4.317394	1.283811
70	3	27	1.146677	6.855232	-0.580698	1.283811
70	3	32	7.010324	-1.304390	6.983693	6.571037
71	1	100	1.596070	7.973338	-0.390886	-0.312969
72	1	100	7.995680	-2.280309	7.671173	8.900531
73	2	37	5.606075	-2.086242	7.211142	7.370606
73	2	63	5.606075	-2.086242	1.323739	7.370606
74	1	100	3.306399	4.518708	-2.664619	-1.531669
75	1	100	6.763545	-0.615280	6.911975	5.170050
76	2	79	6.865216	-3.030726	0.945159	8.886890
76	2	21	6.865216	-3.030726	6.490116	8.886890
77	2	99	1.378262	4.235994	4.231935	3.441652
77	2	1	1.378261	4.235994	-1.803996	3.441652
78	3	77	-4.697223	4.516933	-2.834596	3.233493
78	3	14	-4.666195	0.944297	7.442240	5.546798
78	3	9	-4.666195	0.944297	1.638016	5.546798
79	3	32	1.788034	5.072159	-5.938283	0.893238
79	3	52	7.499175	-3.297166	-1.200995	7.197697
79	3	16	7.499175	-3.297166	5.121037	7.197697
80	1	100	-2.722463	7.843037	-5.990892	-1.215414
81	2	59	1.596591	5.673739	-2.308768	3.454464
81	2	41	6.783091	0.630800	6.892872	6.507818
82	1	100	2.104501	6.453677	-7.096514	0.899671
83	1	100	-0.058343	3.231568	8.149448	1.278485
84	2	11	5.216096	-0.431230	-1.314143	6.361002
84	2	89	-0.086288	6.555958	-7.319200	0.348936
85	3	33	7.238649	0.262699	0.338680	6.989718
85	3	21	7.238649	0.262699	6.725844	6.989718
85	3	46	2.163755	6.191072	-5.209386	0.658739
86	1	100	4.642710	6.034315	-7.686226	-1.389212
87	1	100	7.492274	-4.448987	5.969627	6.561075
88	3	43	6.472322	-3.467701	0.813217	6.408308
88	3	43	0.100910	7.900580	-2.808428	0.148467
88	3	14	6.472322	-3.467700	6.488580	6.408308
89	3	59	-0.196650	5.941973	-4.579216	1.342907
89	3	20	2.134839	-0.255240	5.691366	7.072665
89	3	21	2.134839	-0.255240	-0.731937	7.072665
90	2	84	5.551535	-1.139809	-0.904848	8.511272
90	2	16	5.551535	-1.139809	4.552892	8.511272
91	1	100	1.299889	6.962812	-5.918571	-0.066377
92	1	100	5.617482	-4.963111	9.589106	6.868339
93	2	2	6.246942	-1.449044	-5.544449	6.836417
93	2	98	-0.148779	7.925358	-11.541111	0.506461
94	2	85	5.132044	2.518213	-0.753621	7.088143
94	2	15	5.132044	2.518213	5.647588	7.088143
95	2	45	1.160987	8.579477	-2.445280	0.587098
95	2	55	7.628033	-1.730331	8.869435	6.603737
96	3	60	3.529956	0.111876	5.158223	6.732291
96	3	36	6.727265	-4.126139	5.159878	6.732291
96	3	4	3.481231	5.583103	-4.322841	0.563770
97	2	35	3.355075	5.878998	-4.510092	2.449192
97	2	65	7.529603	-1.665263	3.909222	8.316001
98	2	29	1.693405	5.684963	-3.655816	2.961578
98	2	71	7.282816	-3.014020	6.639220	8.061453
99	2	81	4.605763	-5.303352	8.050758	6.898875
99	2	19	-1.477575	6.227257	-4.231592	0.958079
100	3	11	7.948701	-1.227356	6.574095	5.912068
100	3	35	7.948701	-1.227356	0.239949	5.912068
100	3	54	1.840945	5.911152	-5.815609	0.079196
101	1	100	5.496703	-6.523412	7.597595	7.486189
102	1	100	6.286639	-6.026665	7.839600	8.089175
103	2	33	1.965903	6.241445	-1.559160	-1.090440
103	2	67	6.873042	0.459275	8.650052	4.376682
104	1	100	8.829097	-1.242440	7.215685	5.486665
105	1	100	7.098878	5.790603	-5.192545	-0.235778
106	2	85	7.205726	-4.005810	-0.437538	7.482242
106	2	15	7.205726	-4.005852	5.733100	7.482242
107	3	25	6.191618	-2.754363	5.974753	7.212762
107	3	45	6.191618	-2.754363	0.264473	7.212762
107	3	30	-0.004171	5.245831	-3.908401	0.861135
108	1	100	-0.705631	7.619357	-5.723559	1.111175
109	1	100	-3.217108	5.669231	-5.134743	-2.691354
110	2	77	6.756653	-4.604644	6.402827	6.807077
110	2	23	0.803054	7.249425	-4.786796	0.861197
111	2	59	6.514939	-1.425932	0.719129	6.049465
111	2	41	6.514939	-1.425932	6.863288	6.049465
112	1	100	5.931185	1.226337	6.966786	8.349750
113	3	20	0.296502	5.387848	-5.490522	4.581922
113	3	57	6.466955	-3.108200	1.064162	9.583313
113	3	23	6.466955	-3.108200	7.154211	9.583313
114	2	67	4.904387	-1.934943	6.828862	9.206062
114	2	33	-0.350203	5.221980	6.652213	3.280177
115	2	85	8.090335	-0.640358	7.413575	8.030495
115	2	15	3.423286	6.558403	-3.467863	1.901703
116	1	100	0.673797	6.663712	-6.173927	0.197555
117	2	88	4.946942	-2.491460	-1.750055	5.059580
117	2	12	4.946942	-2.491460	4.671646	5.059580
118	2	82	2.351339	7.895757	-5.905315	1.812508
118	2	18	6.942992	0.174466	6.326855	7.465326
119	2	92	6.255522	1.468256	3.147116	4.867992
119	2	8	-0.077985	6.581967	-4.899646	1.571859
120	1	100	8.552031	2.202005	5.340328	7.074818
121	1	100	0.137747	6.496014	-8.662349	2.169016
122	2	32	2.682667	6.491634	-5.428246	0.968151
122	2	68	6.582486	-4.411611	7.249586	6.379815
123	1	100	1.272029	8.076678	-8.888590	-0.555068
124	1	100	2.612172	6.097415	-3.644863	0.527168
125	2	23	6.037703	-3.166472	7.171263	6.846727
125	2	77	0.584155	4.454592	-2.262920	0.977071
126	2	49	0.928513	8.507926	-3.420346	1.967045
126	2	51	6.544009	-0.719202	7.315186	8.135907
127	3	86	1.041721	8.527834	-6.151257	-1.095195
127	3	12	7.135009	-2.368710	0.449299	5.508353
127	3	2	7.135009	-2.368710	6.910049	5.508353
128	2	90	5.967746	-5.232677	4.392362	4.064695
128	2	10	3.585548	6.061858	-3.429335	-0.979987
129	1	100	5.226553	-1.440882	6.173840	6.441471
130	1	100	6.814723	-3.453984	6.341562	8.049298
131	1	100	8.541231	-2.187327	-3.116320	8.268735
132	1	100	0.551963	7.411149	-3.553182	2.485764
133	1	100	0.592175	7.742625	-2.314526	-1.429377
134	1	100	2.242921	6.770173	-5.034271	-0.459954
135	2	91	0.949534	6.655552	3.738426	0.789116
135	2	9	6.683361	-1.718009	8.524467	5.653855
136	1	100	7.804838	-3.343601	7.812525	7.887073
137	1	100	-1.411640	5.563154	-0.267075	0.402790
138	1	100	5.149471	-1.498062	6.147842	6.104614
139	1	100	4.706255	-3.429366	7.863108	6.253478
140	2	37	3.911902	-2.516428	7.066633	4.015603
140	2	63	3.911902	-2.516428	1.987832	4.015603
141	1	100	2.212592	5.534123	1.660554	3.474087
142	2	62	7.478430	-3.086322	0.756642	8.128655
142	2	38	7.478430	-3.086322	7.258382	8.128655
143	1	100	8.272402	-7.318314	6.241097	6.361777
144	1	100	-0.363694	6.105126	-0.336033	-0.442641
145	2	32	5.363223	0.142134	-1.049390	7.622543
145	2	68	-1.099167	6.344916	-8.534795	4.600859
146	1	100	3.870389	6.119639	2.519808	3.104724
147	3	65	6.107613	-2.135581	-0.226823	5.514949
147	3	28	1.962686	6.162223	-5.258309	0.960311
147	3	7	6.107613	-2.135581	5.960033	5.514949
148	2	65	4.785987	-3.815185	6.096601	7.291197
148	2	35	-0.067896	7.636347	-0.308068	3.436633
149	2	76	7.215896	-3.627538	1.717634	8.533263
149	2	24	7.215896	-3.627538	6.626045	8.533263
150	3	65	0.631890	6.390136	-7.390132	0.646442
150	3	22	7.054564	-4.911045	-1.063996	6.045956
150	3	13	7.054564	-4.911045	4.486968	6.045956
151	1	100	6.179004	-0.425325	-4.104431	6.382576
152	3	68	9.254505	-6.162892	7.826585	5.303922
152	3	22	3.642456	6.122125	3.560238	-0.705200
152	3	10	3.642456	6.122125	-2.708793	-0.705200
153	1	100	1.552429	8.991236	-6.431460	-2.032335
154	1	100	0.527417	7.847605	-4.759430	3.477582
155	1	100	-0.064489	6.508349	-6.192727	3.038801
156	2	90	6.752971	-2.694136	-1.105344	6.118248
156	2	10	6.752971	-2.694136	5.243114	6.118248
157	2	26	2.114291	8.753590	-6.949738	5.036189
157	2	74	8.379343	-3.767888	4.649395	8.541856
158	4	67	8.863762	0.907373	9.036810	4.388647
