7	14	4.628773	2.862568	3.069320	1.202497	-3.623435	6.637355	-1.911319	6.938392	6.529613	6.279710	5.703425	4.552741	4.960758	3.964727	1.312419	5.465371	5.272747	4.579953	3.395770	0.382123	4.680504	3.442294	3.320630	1.530173	-2.860832	4.971047	4.444140	3.830725	2.273106	-1.494246	4.818328	2.078873	2.957461	1.221257	-4.472531	5.676077	4.674038	4.915477	3.897077	1.202823	5.561853	5.065642	4.731117	3.622046	0.751663	4.889409	4.203400	3.703440	2.084149	-1.825241	5.424654	5.318591	4.517162	3.301308	0.230046	5.205887	5.071093	4.185203	2.803480	-0.593568	5.793619	0.619806	5.408390	4.790527	2.696245	5.056118	1.572739	3.224057	1.768927	-4.659808
94	14	5.308346	0.891197	8.971189	5.800872	-0.236547	5.359555	-1.836075	9.175329	6.163975	2.522588	5.359825	-0.686849	9.177914	6.164579	2.884978	5.315633	0.084137	9.012423	5.962635	-1.239047	5.311623	1.781110	8.982243	5.664632	0.949478	5.349431	-1.928893	9.131481	6.146558	-0.524083	5.343659	-1.622705	9.110930	6.132291	-1.590975	5.328124	-0.746058	9.059270	6.069261	-2.133896	5.333238	-1.044317	9.076285	6.095180	-2.321934	5.340401	-1.445274	9.099917	6.122478	-2.043890	5.344691	-1.678272	9.114489	6.135117	-1.413559	5.307796	1.071700	8.965220	5.760474	-0.001225	5.314541	0.172129	9.007501	5.947747	-1.133980	5.320401	2.202680	9.037468	5.739419	1.521133
110	14	4.366587	6.152307	1.301397	2.331470	2.786347	6.060775	4.470286	3.558820	4.364898	4.423516	6.845518	-2.668714	5.064768	5.393280	2.263926	6.286000	4.007730	3.895662	4.622280	4.659972	3.751890	4.324451	0.279589	2.516335	1.531971	3.770158	3.968025	0.176259	2.745860	1.251658	4.090279	5.654978	0.931811	2.172366	2.432616	5.868277	4.936174	3.278951	4.138370	4.231253	4.960526	6.616171	2.062622	2.977232	3.391521	6.962915	2.000735	4.986982	5.341456	5.503670	4.732674	6.543309	1.771053	2.701069	3.173137	5.629506	5.610899	2.944207	3.844072	4.003953	3.837667	3.659333	0.131230	2.979401	0.977109	4.148075	5.775675	1.011671	2.192346	2.514150
132	14	7.125414	0.275862	5.470866	-0.206052	4.053623	7.199804	1.515793	5.498911	-0.206052	5.453720	6.442051	2.341948	3.081711	-0.206055	1.200633	6.965569	0.591445	5.083348	-0.206055	2.048321	6.662829	3.395457	3.699300	-0.206054	3.276349	6.556299	3.147563	3.361870	-0.206054	2.749524	6.460329	2.752071	3.059286	-0.206055	1.964093	6.715977	3.476602	3.861202	-0.206054	3.497902	6.975459	3.226427	4.637606	-0.206053	4.510133	6.728228	1.190576	4.361621	-0.206056	0.869599	6.586608	3.229902	3.459607	-0.206054	2.916447	6.891116	3.440589	4.380909	-0.206053	4.174034	6.476449	2.848216	3.105604	-0.206055	2.153882	6.776399	1.065009	4.523986	-0.206056	1.034780
307	14	1.802831	2.132586	6.038086	5.411045	3.802455	1.635213	2.569163	5.948110	5.224263	3.514913	1.839145	2.029491	6.058366	5.456544	3.871287	1.870571	1.937165	6.076269	5.497633	3.933307	0.276733	1.909697	5.158568	4.670944	-0.411506	2.268136	-0.593845	6.419393	6.389907	5.076092	0.911802	0.873866	5.297292	5.178111	-0.902565	2.193135	-3.360119	6.313619	6.414376	1.965454	2.157587	0.842850	6.273923	5.982156	4.676813	2.226863	0.387292	6.345190	6.157918	4.948846	1.423818	3.050364	5.838098	5.031678	3.195890	2.269802	-0.398106	6.415877	6.363780	5.128793	2.130327	-2.898059	6.203144	6.376935	1.205289	2.221240	-2.498327	6.365640	6.427434	3.185900
332	14	6.136607	-8.549610	6.134927	6.430245	7.692401	0.513818	6.772071	-0.053146	3.423682	3.105676	0.643663	4.261669	-0.053262	1.356259	0.732671	2.808552	2.828699	-0.050922	3.107607	2.028729	5.320290	0.478259	0.803235	5.445798	2.805412	5.123398	2.310798	0.440578	5.607393	4.140711	4.189212	3.440540	0.096966	5.293172	4.182589	0.174420	7.303611	-0.053281	2.363681	2.287298	0.514242	4.537514	-0.053272	1.387227	0.840846	2.376725	4.516657	-0.040879	4.593066	3.826640	1.238361	5.300912	-0.051844	4.016760	3.485535	3.248028	4.059384	-0.009338	4.943585	4.019445	0.290909	7.406405	-0.053256	3.035299	2.834761	1.109675	5.472039	-0.052236	3.934079	3.434475
392	14	-1.081728	3.947347	2.696049	-0.212625	1.096863	5.440491	-4.436527	6.628392	5.804159	7.612198	-1.078058	4.616194	2.952460	-0.212461	2.985602	-1.079960	2.290166	2.761669	-0.212535	0.081786	-1.081643	2.765359	2.627944	-0.212617	-0.348488	-1.081834	3.297158	2.627183	-0.212634	0.219068	-1.081397	4.462018	2.772356	-0.212601	1.771092	-1.081662	4.105701	2.717566	-0.212619	1.304221	-1.080443	4.847382	2.861115	-0.212552	2.410029	-1.081792	3.712345	2.666951	-0.212630	0.783314	-1.079815	4.882003	2.893750	-0.212525	2.622203	-1.081829	3.445789	2.639151	-0.212633	0.420415	-1.078303	4.678668	2.945984	-0.212469	2.946400	-1.075169	3.133372	3.004747	-0.212375	3.273312
435	14	2.308483	-2.419180	1.520934	7.599198	1.561235	-0.753792	1.214169	0.733352	6.552106	-0.865178	4.778824	-7.813759	6.854224	7.959425	6.669094	1.122199	0.101579	0.995173	7.694330	3.135680	-0.508131	4.151263	0.744027	6.974163	1.623252	2.319324	-2.501160	1.544438	7.571385	1.361829	-0.709055	2.713153	0.734628	6.565961	0.289512	-0.750954	1.662990	0.733413	6.495242	-0.751218	2.112283	-2.142550	1.393924	7.634164	1.928158	2.325437	-2.482059	1.542647	7.580356	1.420258	-0.700906	2.800985	0.734910	6.591338	0.403705	2.292454	-2.523577	1.537566	7.555774	1.270164	-0.466034	4.341426	0.746533	7.026313	1.760266	-0.757375	0.005300	0.733287	6.761998	-0.866595
471	14	1.558477	1.477622	5.739397	3.703208	3.652134	1.298457	1.331557	5.696476	3.645826	3.474038	1.460433	1.847091	5.737953	3.718819	3.738685	0.505719	2.221018	5.549688	3.526245	3.318440	1.156792	2.157931	5.684532	3.673742	3.654127	0.160319	1.866429	5.522837	3.470298	3.118091	0.844891	2.276123	5.616766	3.604777	3.504150	0.369851	1.547256	5.576168	3.513159	3.157933	0.559664	1.458367	5.602829	3.540184	3.211645	1.030230	1.340390	5.661684	3.604751	3.363821	0.777631	1.389625	5.630477	3.569787	3.278021	0.978018	2.246608	5.646066	3.635626	3.572105	1.442266	1.364871	5.717484	3.672262	3.551336	0.347414	2.127669	5.527414	3.494380	3.229504
600	14	-0.039613	2.373660	2.351506	5.056576	-3.478095	0.485643	5.072572	2.804380	5.109952	-0.287957	0.562298	5.288420	2.903651	5.169107	-0.028392	1.224048	6.627170	3.669814	5.649206	1.723898	-0.023071	3.076991	2.226532	4.886647	-2.750295	0.053446	3.495561	2.265120	4.861625	-2.237955	0.068889	2.122296	2.460214	5.152709	-3.655074	3.016311	0.073386	5.478300	6.525270	5.369866	0.520878	5.173393	2.850274	5.137111	-0.166502	1.562122	6.547701	4.011230	5.862459	2.417681	1.808662	1.023230	3.128982	5.606509	-3.754309	1.011342	6.328648	3.439813	5.503525	1.231677	1.781984	6.237919	4.220577	5.989838	2.824954	3.014939	0.525809	5.400591	6.516906	5.203839
