3	4	8.546271	-2.875087	1.666589	6.192702	-0.886342	6.502336	3.030429	5.142341	1.283161	-0.879546	-0.335520	7.231467	5.464623	0.626090	4.805319	1.467131	1.830721	4.795015	5.585378	4.804920
338	4	-1.541659	1.393592	5.661546	3.171531	7.019328	0.290144	-1.259390	1.752639	7.004218	7.015523	7.284309	-3.486582	1.734450	7.023756	0.819032	4.531911	1.146681	4.959499	3.805044	3.051517
351	4	-1.689246	0.447436	5.303067	7.329319	6.419525	4.688657	-5.066392	1.597509	7.341141	1.052112	0.894276	3.864635	6.513617	3.655613	2.846327	-5.181098	3.864687	6.513624	3.655613	6.419991
352	4	6.624763	1.121184	4.895501	2.403206	1.454156	-2.610722	4.897036	7.883798	2.379787	5.033149	0.854385	3.945224	7.883714	2.379786	1.807219	7.044933	-1.719248	1.299166	7.246418	1.454156
635	4	8.943072	-2.959362	1.088529	5.535643	2.732228	-3.021599	7.860490	5.760990	0.195446	7.695229	8.514938	1.370947	5.750911	2.564102	2.732781	2.922023	-2.896088	1.169670	5.535437	7.215223
873	4	-3.199959	4.181910	8.819064	0.929277	8.866302	3.092729	3.886634	8.818544	0.929511	3.417268	-1.462980	-0.118958	6.978680	7.048521	8.762111	5.528249	-4.737341	5.067093	7.073496	3.414669
1159	4	3.438025	-0.047691	7.965697	1.670869	2.895095	-4.732188	4.243522	7.967755	1.631265	8.161085	3.646523	-4.147601	7.556635	6.470341	2.721773	1.382373	-4.057947	7.590617	6.465843	7.604301
1760	4	7.704807	-5.986500	0.685715	6.951081	2.199838	-0.089570	3.824937	5.412424	0.721289	5.647665	-0.053873	-0.387686	4.320272	6.947396	5.647664	3.910198	2.873330	5.325970	2.726006	3.555070
1888	4	6.069775	1.352928	7.043380	3.563656	4.156788	2.076471	1.654112	7.116245	3.443454	8.019351	6.427762	-0.359005	5.824590	7.346897	3.694564	2.559719	-0.259139	5.941135	7.284429	7.922502
2010	4	3.528705	3.733788	4.582540	2.123882	-0.406488	5.004327	-2.388447	4.047424	6.543848	-0.874882	3.529158	-0.038618	4.356281	6.518187	-0.406775	-2.204523	6.284874	4.582551	1.317715	5.353497
2471	4	-1.964719	0.911233	7.367491	4.315690	9.483322	6.502311	-2.712259	3.079163	6.161288	4.114771	1.847988	-0.534625	6.993223	5.280740	9.299850	6.491674	-1.010360	5.805302	5.536976	4.124473
2798	4	6.676741	-6.558514	3.548256	7.461634	1.749082	2.580296	0.960744	4.847833	2.453808	5.164209	-1.369333	2.454429	6.420695	2.064925	5.196694	2.633758	-3.549615	3.548256	7.460956	5.157703
3789	4	-2.062397	2.995204	6.719350	4.975743	8.284393	-0.028246	-0.462685	3.211238	8.320426	7.750051	5.162504	1.880031	6.049415	5.130500	4.103994	6.795984	-2.820855	3.179405	8.480528	3.034073
4160	4	8.249975	-4.972037	1.094728	8.951015	2.439969	-3.575459	5.248252	4.939462	2.589319	6.337387	2.450704	3.845760	4.879293	2.589412	2.839317	8.083124	0.253687	4.111487	2.752910	2.440009
4559	4	-3.495918	6.104173	4.426149	1.212363	8.023431	0.158881	-0.002434	0.232076	6.442009	8.023430	4.871083	3.550411	4.423940	1.479443	2.155623	6.945202	-2.633727	-1.022387	6.605174	1.884281
4636	4	6.872221	-4.921755	-1.335366	6.594246	0.848948	-3.971183	3.657852	4.274265	1.639609	6.832763	2.782637	-3.828238	-1.214489	6.594196	6.711204	2.734267	-0.403114	4.268999	2.253643	6.725892
4710	4	1.520434	1.941687	7.845832	1.486163	1.768392	-4.660583	1.968778	7.866162	1.466735	6.668867	7.072805	-7.712122	2.098280	7.176733	0.944897	-3.593068	-1.210408	3.526496	6.811195	6.666850
5113	4	-2.122521	6.279992	4.463369	4.529721	6.723275	8.174836	-3.161740	-1.036538	8.808441	0.350904	2.716776	-3.134785	-1.036532	8.807446	5.860524	-2.120737	2.980316	4.462554	7.020191	6.723271
5443	4	-0.293146	0.923905	4.705027	7.422969	6.888550	5.736870	0.245968	4.042454	7.458984	2.284391	2.362064	5.276956	6.073350	1.003328	2.569751	-3.157365	5.327405	6.073353	1.003129	6.903364
