1	2	70.005600	61.733670	55.432406	0.826526	0.340416	0.594840	4.986223	6.000000	0.023786	0.345555	3.000000	0.026113	2.206367	6.000000	9.962375	1.815177	4.000000	9.962375	2.436555	4.000000	0.015429	3.838272	2.000000	33.839477	1.656855	1.000000	0.015356	2.454273	1.000000	0.064765	1.673714	6.000000	52.097724
2	1	77.669465	20.440926	93.780625	0.309525	0.301821	0.566247	5.970439	5.000000	0.016388	4.069632	4.000000	0.013626	4.570593	1.000000	19.012436	2.619513	3.000000	64.018755	3.578159	2.000000	0.010010	4.360393	4.000000	92.352089	5.404835	4.000000	0.023772	3.512995	6.000000	0.247797	0.576730	4.000000	13.968678
3	5	65.120748	15.440423	52.097724	0.817997	0.886337	0.229263	5.318407	6.000000	0.015268	1.708235	4.000000	0.027282	1.147403	5.000000	23.182869	0.831250	5.000000	93.043939	4.336670	3.000000	0.011481	3.629900	4.000000	64.674110	2.610861	4.000000	0.014461	3.590536	3.000000	0.021442	2.775217	5.000000	12.812051
4	1	29.622460	83.786749	77.480458	0.866045	0.298659	0.124534	5.383817	6.000000	0.016072	0.414233	1.000000	0.079052	2.016160	2.000000	91.124433	0.923163	1.000000	74.833725	4.441533	5.000000	0.011318	3.504463	4.000000	93.345893	1.046262	4.000000	0.012146	3.742534	1.000000	0.010637	0.208910	2.000000	73.681569
5	1	74.615813	96.719324	11.815543	0.292795	0.412311	0.675421	4.557257	2.000000	0.016715	2.926391	1.000000	0.024722	4.176144	1.000000	2.246642	2.745994	1.000000	59.850450	4.443458	4.000000	0.011919	3.092698	5.000000	79.225194	2.637768	4.000000	0.018900	1.945922	3.000000	0.019466	3.978867	3.000000	52.627792
6	1	51.692015	51.976638	40.393318	0.370916	0.258312	0.200559	1.998104	6.000000	0.052249	1.903707	3.000000	0.011645	4.409214	4.000000	39.282514	2.043297	6.000000	13.524026	1.242995	6.000000	0.016789	1.916514	3.000000	15.854064	0.080654	1.000000	0.127141	0.544328	6.000000	0.066071	1.826592	1.000000	57.486951
7	2	31.803210	72.080075	10.567994	0.319960	0.177149	0.564615	5.275438	6.000000	0.010358	2.673409	5.000000	0.016120	3.078945	4.000000	29.439927	2.381224	3.000000	43.546472	2.931341	1.000000	0.012246	3.887104	2.000000	7.641167	0.973719	3.000000	0.075263	4.166489	6.000000	0.010691	3.681950	4.000000	21.313511
8	2	36.308488	97.701563	50.012242	0.124662	0.343268	0.155321	0.183330	2.000000	0.029870	2.087799	3.000000	0.010331	0.158665	2.000000	66.689205	2.349979	6.000000	87.767638	2.225772	4.000000	0.023163	0.806085	4.000000	41.036001	6.027227	5.000000	0.045237	3.694392	6.000000	0.023014	1.521067	2.000000	56.477502
9	3	94.703651	14.675162	10.882354	0.102520	0.757997	0.168907	2.556356	4.000000	0.847821	0.099908	4.000000	0.021840	3.678881	3.000000	52.004901	4.204954	5.000000	93.735661	0.765620	2.000000	0.011554	3.649203	5.000000	27.505706	3.337754	1.000000	0.012057	0.298683	1.000000	0.022625	2.454380	4.000000	26.046545
10	5	14.404952	66.578711	42.416741	0.727324	0.652124	0.652124	3.415988	6.000000	0.055658	3.673815	5.000000	0.011540	1.304739	3.000000	22.818351	3.845787	3.000000	42.040880	1.246395	6.000000	0.026113	2.053039	4.000000	9.962375	0.468999	6.000000	0.015429	2.206367	4.000000	0.015429	1.734007	5.000000	33.839477
