1	1	83.018433	14.447943	22.240147	90.234277	22.340152	0.657950	0.864005	0.472573	0.668164	0.517657	1.975025	6.000000	0.022778	22.728170	2.000000	0.016005	8.534062	5.000000	0.032184	16.967299	6.000000	0.101875	27.986150	3.000000	0.031517	0.557294	3.000000	92.778420	6.033628	4.000000	9.425051	3.638227	4.000000	0.043971	0.310293	3.000000	0.280930
2	1	97.579348	91.277467	43.229119	49.381852	51.315364	0.230008	0.410813	0.590352	0.909809	0.764055	2.397633	3.000000	0.021303	48.112733	2.000000	0.020372	12.786344	4.000000	0.025449	5.126861	4.000000	0.017517	11.426918	2.000000	0.014918	1.990371	6.000000	46.971065	1.435305	1.000000	13.843402	1.906044	2.000000	0.041962	10.436747	4.000000	0.011058
3	2	94.737113	40.832126	55.545949	73.021877	59.806570	0.325906	0.298837	0.127481	0.913451	0.515667	2.861977	3.000000	0.016166	42.141976	1.000000	0.018534	10.068014	6.000000	0.010930	13.436495	6.000000	0.128890	22.767419	1.000000	0.141612	0.124561	2.000000	28.360671	15.070921	3.000000	93.133471	0.870097	5.000000	0.010715	14.017945	6.000000	0.452468
4	3	77.699490	76.201825	85.974615	62.090619	95.644691	0.788709	0.161889	0.943545	0.236997	0.474232	0.859888	2.000000	0.016227	47.840399	2.000000	0.010027	1.715926	4.000000	0.017588	23.532463	6.000000	0.015360	53.602182	5.000000	0.055391	2.110990	3.000000	93.311193	23.655321	6.000000	25.995644	1.158637	3.000000	0.020716	3.884512	1.000000	0.014732
5	2	41.414842	94.420448	91.851890	16.014930	71.245858	0.962146	0.615086	0.568748	0.696847	0.968678	3.592077	6.000000	0.015776	54.210790	5.000000	0.025458	3.782389	6.000000	0.540359	18.916418	4.000000	0.021556	31.622437	4.000000	0.030970	0.192178	2.000000	13.369399	21.369658	3.000000	96.161266	2.601854	4.000000	0.020544	5.797133	1.000000	0.014261
6	3	45.266296	76.312863	20.624506	79.092071	86.957471	0.881734	0.438246	0.447962	0.672161	0.428149	3.257551	2.000000	0.010213	30.706039	2.000000	0.757668	7.907624	6.000000	0.027040	21.946691	6.000000	0.101895	9.392191	3.000000	0.027478	0.734614	6.000000	7.448213	18.929501	5.000000	17.689115	3.590836	3.000000	0.041269	14.159719	4.000000	0.058308
7	2	17.041222	66.724991	31.418630	21.556528	10.160392	0.660792	0.959819	0.429137	0.383042	0.447790	1.420933	1.000000	0.018381	40.745158	3.000000	0.015598	13.212608	3.000000	0.105767	18.051555	6.000000	0.010506	18.490443	1.000000	0.012662	2.982446	5.000000	78.781786	24.535568	4.000000	19.085310	0.473230	3.000000	0.061882	1.256168	6.000000	0.217837
8	2	65.396225	14.513819	48.777130	26.027172	4.858669	0.922864	0.584345	0.929620	0.929561	0.910576	1.520244	5.000000	0.037942	4.744927	1.000000	0.017468	10.134191	3.000000	0.060435	8.081401	4.000000	0.010538	6.011583	6.000000	0.013251	1.247153	1.000000	71.144347	24.805590	2.000000	42.712116	1.013180	1.000000	0.011137	12.299138	3.000000	0.144213
9	2	58.581694	19.401148	35.141834	17.990415	51.585633	0.492522	0.792420	0.600903	0.312548	0.240729	2.026120	3.000000	0.037170	3.045083	5.000000	0.012609	0.664471	1.000000	0.011886	1.271727	2.000000	0.015457	48.024890	2.000000	0.012229	1.129003	4.000000	82.030259	9.494266	4.000000	18.864676	3.684151	1.000000	0.041347	5.117094	5.000000	0.010929
10	2	26.546729	68.006712	71.234171	49.178097	22.259131	0.235045	0.348250	0.553900	0.490152	0.508514	2.614621	5.000000	0.034548	51.489206	3.000000	0.010210	3.558245	5.000000	0.029085	3.643356	1.000000	0.025468	34.058372	5.000000	0.010476	1.005769	1.000000	77.306805	1.029535	3.000000	1.585235	0.408392	1.000000	0.013197	9.353705	5.000000	0.101439
