8	5	2.673466	7.458807	-2.724501	5.361270	-8.621208	5.308195	-0.355257	-1.316096	8.379563	-5.662503	6.663982	-4.245464	8.566942	-1.087160	-3.014185	5.308194	-0.355257	-1.316096	8.379787	-5.734350	2.675634	6.474287	3.361102	-1.724262	2.688956	0.386731	5.532068	-7.291887	8.382466	-5.663027	6.663982	-4.245464	8.566943	-6.781242	2.688986	0.386724	5.532068	-7.291887	8.382689	-5.734350	2.673466	7.458807	-2.724502	5.361171	-2.918348	0.514366	5.530557	-7.291477	8.382465	-5.662503
9	5	-7.335649	9.430105	-0.521006	2.685267	7.759121	-5.465530	6.985393	-1.231079	0.975777	6.530516	-1.393338	9.382450	-4.195173	7.885810	1.477950	0.495630	6.981193	-2.940770	5.180613	0.172916	-7.335649	9.430105	-4.195173	7.885810	1.477950	0.495630	6.981173	-1.231079	0.975777	6.530516	-1.393338	9.382449	-0.521006	2.685267	7.759121	-5.465530	6.985413	-2.940770	5.180613	0.172916	-7.335652	9.430105	-4.899294	8.979383	-5.117677	6.075435	-4.637453	5.262473	-1.434700	6.531308
10	5	2.370347	-0.057703	4.574705	-4.035806	7.822705	-4.168268	7.399860	-0.006242	-0.397192	6.985628	6.795655	-2.501937	4.575238	-4.035957	7.822705	-4.168268	7.410357	-5.478433	6.150309	-4.624796	2.366621	0.259435	-0.843888	5.545956	1.471578	1.317824	7.398306	-0.006242	-0.397235	6.986513	6.795533	-2.191377	-0.842856	5.545940	1.471578	1.317824	7.408802	-5.478433	6.150309	-4.624771	-1.806859	9.279008	-7.334317	5.553852	1.471577	1.317824	7.398306	-0.006242	-0.402377	7.105187
15	5	-6.627688	3.270772	-3.151293	5.964589	-2.630826	7.889788	-1.680398	7.026169	-3.407300	9.229183	5.777107	-5.162938	3.563509	-5.453287	7.803801	-3.448934	5.373770	4.508015	0.330572	3.052151	-1.836902	0.326865	3.491984	-1.544915	2.441023	7.673365	-1.626060	7.026160	-3.407294	9.229174	-6.626887	3.253209	1.653753	-1.999023	7.803800	-3.448904	5.373731	4.508071	-1.409968	9.228089	5.768170	-5.156766	3.561856	-1.551064	2.441023	7.673365	-1.626060	7.026160	-1.692548	3.064628
17	5	-0.454827	7.882860	-0.389084	0.339708	9.040235	-4.338056	5.961727	-1.572198	6.634303	1.560627	-5.103008	7.882875	-6.764477	5.546975	0.225312	6.560396	-3.537629	8.155359	-0.404062	6.038458	-0.455770	7.882874	-6.764477	5.546968	0.226701	6.558655	0.987456	2.646430	5.517584	1.561395	-0.102381	1.347468	5.635290	-6.037763	8.693822	1.921731	1.165039	8.151618	-0.402776	6.038456	-5.103008	7.882861	-0.389084	0.339708	8.692818	1.922412	1.164928	8.151623	-0.402779	6.038458
19	5	-4.431321	6.931560	1.902860	0.904502	7.867877	-0.988106	6.997812	-0.420077	-2.200657	6.075252	-4.433160	6.941033	-3.719842	8.053597	0.652731	5.072486	-2.872237	6.286937	-7.751890	6.075281	7.356492	1.505432	6.774937	-2.637071	7.940172	0.068017	1.371770	6.282919	-4.923517	0.890217	-4.431321	6.931560	1.902860	0.904502	7.867698	0.068017	1.371768	6.286522	-7.751890	6.075252	7.356493	1.505432	6.774937	-2.637071	7.940351	-0.988129	7.001148	-2.914230	0.628604	0.889830
21	5	6.225572	-5.409233	5.663187	-8.100414	6.690571	-1.964579	3.706136	6.417710	0.848224	-1.411805	6.225572	-5.409233	5.663187	-8.100414	6.690571	-6.084090	6.530434	2.599159	1.094429	-1.411836	6.225572	-5.409233	5.663125	-4.466329	2.228763	6.094807	-1.300336	7.671469	0.848218	-1.411805	6.225572	-5.409233	5.663187	-8.100414	6.690571	-6.084326	6.574000	-0.779067	7.083332	-7.797282	0.624574	-1.329981	5.663184	-8.100414	6.690571	-1.963835	3.705935	6.584956	-0.970520	4.752954
26	5	4.145830	5.144574	-1.980106	7.241244	-3.800392	7.206577	-1.120529	1.159179	2.602046	-1.458173	-3.321948	7.066258	-1.980087	7.241244	-3.800394	7.206580	-6.652174	6.656874	-4.220023	7.150066	6.709749	0.480538	7.284026	-4.647968	6.401254	-1.483595	4.485339	0.205825	2.603993	-1.460841	4.146400	5.143856	1.555524	1.265136	6.349810	-1.460065	4.485339	0.205825	2.603993	-1.460839	6.709747	0.480543	7.041735	0.575973	2.070066	7.160968	-1.120526	1.159179	2.602046	-1.458175
27	5	0.307107	7.598981	0.176274	6.412183	1.298195	1.314912	5.686669	-2.198651	8.113433	1.299060	-3.560634	7.608142	0.086446	6.527062	-1.658528	7.320333	-2.294099	6.244483	-4.345892	6.108468	-3.185484	7.599077	0.176093	6.412413	1.296723	1.324005	5.420160	1.122330	1.896051	5.495877	-2.690095	6.513895	3.773721	-0.458452	7.188681	-4.436700	5.509874	1.079352	1.904125	5.484921	0.805120	6.513586	3.773722	-0.458464	7.188709	-4.444464	5.768102	-2.224550	8.120099	1.218051
29	5	5.669430	0.129823	1.688255	5.128755	4.399808	1.404947	0.931424	6.630781	-0.800311	2.803077	6.205136	-0.188042	1.688279	5.120138	4.413842	-4.547573	6.871309	-5.072968	6.336504	-1.532905	2.084328	6.049827	-3.726082	5.120614	4.413775	-4.547525	6.871309	-5.072939	6.317732	0.849659	5.695979	-5.118466	6.774751	-1.645549	8.769458	-1.080776	0.934390	6.630752	-0.769797	2.778881	0.360783	6.220944	-3.727375	5.129232	4.399740	1.404995	0.931423	6.630781	-5.464998	5.245551
