5	2	-2.800286	5.993288	2.790197	-2.650128	-6.152979	6.907885	0.205719	-2.283866	5.786114	1.075585	4.409778	-4.844309	-1.321451	3.166992
6	2	-4.157401	2.346370	1.101224	-0.174604	8.655432	-0.957057	4.371942	-4.372283	0.046375	3.178256	-3.207614	7.629896	-3.421467	4.122368
7	2	-1.687828	3.231096	4.694473	-4.017712	-2.635121	7.503765	-3.222594	4.272854	-0.007674	4.429753	-4.277436	-2.636064	6.619882	-2.555988
16	2	9.441770	-2.811089	-0.902465	4.149110	5.491832	-2.012870	-3.118287	11.441501	0.799408	-2.531011	9.622030	0.052961	-1.810181	-2.377941
18	2	-7.629029	0.885791	4.467180	-3.644051	-3.292601	7.889405	6.056048	-12.878561	-2.126491	8.953452	-0.379002	2.852429	1.443559	4.652482
20	2	-1.521909	7.186999	-4.138796	6.470656	-4.327941	-4.940258	5.583971	-1.241499	7.403724	-2.969713	0.416869	4.104928	-4.791864	2.881718
24	2	6.770403	3.914274	-6.607542	-4.162328	4.575936	-2.299167	2.481493	4.578819	4.779351	-1.826584	0.826209	-0.960665	-0.809972	5.972685
27	2	-1.406179	4.976149	-7.047930	-3.316786	5.439692	4.070212	-1.189265	3.365091	-0.264987	-10.991467	-5.200177	7.923649	5.167480	0.191247
29	2	-3.771514	5.818260	-2.502191	-2.671330	7.477230	-3.770092	6.715177	0.618198	2.828036	-0.980637	7.059266	4.298496	-3.942796	-0.929641
30	2	-3.120623	1.438729	6.098933	1.455022	5.832406	-3.312942	1.438231	-3.795741	0.431455	9.740557	5.369038	0.660973	0.465757	-4.691994
31	2	0.610185	-0.664940	0.487940	-2.683351	-1.005553	6.644256	8.154680	-4.532001	-6.698437	-3.671017	3.711232	-1.088267	11.274500	6.310996
33	2	8.973677	-2.354495	0.511959	-0.066375	5.083199	-4.943674	-0.081737	-1.050137	9.534565	5.638385	2.994314	-1.257412	-3.941045	-6.183518
38	2	-5.560915	-5.773407	-1.569285	5.662577	6.052664	-0.493081	4.740126	-2.924345	-11.397158	0.776813	4.231262	1.068513	3.923096	4.166419
39	2	-2.499845	2.244767	-1.422762	-1.085740	-1.509488	12.687406	6.978588	-3.493298	4.490183	4.715181	-2.954034	-9.590459	7.330877	-0.656957
40	2	4.965065	6.415472	-0.489343	-5.173511	4.307069	-7.165466	0.957156	-0.016972	7.123967	-2.205144	-0.668154	3.918476	-6.232629	4.860275
41	2	1.441600	-0.334367	7.848154	-0.178475	7.834029	-3.459558	0.102147	-0.291391	-3.885869	2.414694	-0.123842	6.714469	-5.436250	4.720069
47	2	-2.373367	-3.575035	4.687412	-1.623879	-4.685887	6.486938	6.546551	1.945542	2.291098	7.076495	-3.416780	-3.664257	5.802501	1.708560
51	2	-5.677051	2.404257	-2.742187	-2.380116	-0.326390	7.100905	6.420016	-6.370490	6.328258	-6.408145	-1.792713	6.162067	4.041977	-2.946564
55	2	8.508483	5.010033	-2.301338	4.961285	-1.068937	-4.514768	-3.328894	9.581173	-0.583847	2.211894	2.152461	7.324442	-3.449652	-0.055927
68	2	6.244245	4.940934	-1.089020	-3.492435	4.040862	-2.304855	-5.284639	7.274068	7.465461	-1.437850	0.496375	-1.210437	2.001623	-3.880193
69	2	-5.872149	0.636662	10.714095	0.498903	0.380986	5.972069	-3.702441	-3.696647	-0.916530	13.949507	-1.942671	-2.142443	2.145436	5.907705
70	2	-6.463255	7.298438	-5.625888	7.276958	-5.217729	-6.775070	4.965580	3.104702	0.543288	5.757454	4.317491	-2.552583	-1.081758	0.340841
72	2	1.142917	-5.652995	-4.320499	0.406354	0.314991	10.235690	7.672232	5.397416	0.303773	1.865482	-4.054889	-1.782567	9.872845	1.366853
73	2	-5.602818	9.440234	-3.443891	-0.117152	2.845840	-2.432041	7.960965	-5.904033	9.968018	-4.882542	2.484711	0.831496	-4.240956	8.210604
75	2	-0.551548	0.904909	8.287300	2.128488	7.530275	0.044373	-1.671414	-6.515289	-5.183451	2.132424	4.797341	5.432542	-4.285240	6.398337
76	2	8.770636	8.700463	-3.403960	0.854825	-3.246205	1.274556	-0.566022	6.661364	1.649257	-1.952074	1.686085	-2.017316	0.063106	4.229275
79	2	-2.249133	9.197406	2.323020	6.490131	-0.077300	-2.405402	-3.611906	-1.097074	-1.804244	5.934118	0.988702	5.830567	4.302994	-5.305300
109	2	8.867466	6.480099	2.859930	-4.649538	-0.931690	-3.675978	-1.885584	9.152659	8.561479	0.875431	-4.871170	0.728749	-3.842340	-1.061740
113	2	-2.241719	5.685826	2.928822	-6.789836	-0.177051	-4.722116	9.189890	4.628719	-0.310910	6.038784	-10.252817	-3.203238	-2.800714	7.870679
117	2	-0.454713	4.440131	6.801355	-0.926106	3.220098	0.668280	-1.073071	-4.773556	7.171822	0.545990	2.982439	6.012630	-0.751441	-6.023623
