1	5	4.640333	2.230764	-0.555596	2.155236	2.251162	6.690541	5.135270	-3.139065	-0.868808	2.680054	-3.129161	6.478750	-2.014922	4.279032	7.322335
102	5	-0.623748	6.584723	5.562805	5.871252	-1.872715	0.688875	4.847890	4.204843	-4.360862	5.922729	-1.874316	-4.923736	4.562081	4.319110	1.801357
449	5	-1.015579	6.365723	5.111873	6.027672	1.369449	2.397405	6.027887	-3.755255	2.397244	6.028499	1.369025	-3.071000	6.028713	-3.755641	-3.071158
705	5	8.018528	-4.690488	1.141762	1.694924	6.994944	1.309051	8.018533	-4.690486	-4.366042	1.694934	6.994944	-4.198611	-4.396205	6.997557	6.099530
1303	5	8.388176	-3.026560	-1.992161	-3.800112	7.309214	8.236554	8.255300	3.131833	-1.990808	2.477928	3.173016	8.093011	2.626059	-3.001620	8.044644
1528	5	-0.629980	1.014312	5.554230	2.475166	1.001560	-0.410542	5.917736	-5.197011	-5.957619	2.472669	4.559845	-0.410313	-0.632318	4.579569	5.554230
1982	5	2.356402	8.111269	-3.804647	-3.925189	8.234809	6.454934	2.346680	8.112780	2.579885	8.460028	1.365735	-3.822529	8.451129	1.365856	2.558114
2433	5	1.572787	1.930282	0.105190	-3.387086	2.019293	7.693990	-3.559593	8.118740	7.694248	5.933546	-2.374658	0.104150	1.343112	8.057708	0.106455
2601	5	-1.601553	8.495770	6.190638	8.148132	0.808955	2.386731	6.922634	3.765363	2.812285	8.151884	0.808886	-1.280339	6.944408	3.762593	-0.777207
3558	5	1.366489	0.179468	-2.037110	-0.171765	5.071691	-1.596781	6.037440	-5.377287	-2.972251	-4.958644	0.192369	5.283250	-6.312216	5.071715	5.296919
3989	5	0.971333	1.282867	-4.555607	0.860761	7.361026	-4.521068	-1.409843	1.283153	5.985709	-1.531805	7.361182	6.000680	6.729674	-3.517152	-4.616901
4237	5	5.716131	1.513298	-1.412997	0.409242	6.631247	3.803521	6.319352	-5.398106	-1.454289	2.402771	6.514858	-0.483185	6.160910	-5.315260	2.612237
4347	5	4.711064	2.614127	-2.219134	1.153762	7.427248	9.297061	4.209048	2.644006	3.843395	5.906062	-1.868129	3.822632	6.390679	-1.868314	-2.221691
5279	5	0.777224	7.617902	-2.402896	0.794524	1.387588	-2.441478	5.658737	-3.267336	-6.172030	-2.070295	7.618017	5.925044	-2.052575	1.387714	5.924478
5558	5	-4.277599	9.007979	6.376773	6.864526	3.390781	-3.195042	6.606996	3.395486	3.335738	6.929463	-1.529307	3.078178	7.084268	-1.530902	-3.339454
5618	5	2.038302	7.789612	-0.790616	8.533130	-3.745965	-6.205471	0.951194	7.958578	5.662101	2.038364	1.313229	-0.790632	0.951226	1.484483	5.662099
5623	5	-3.561841	6.721980	7.239977	4.181719	-0.755084	-2.257624	1.808158	-0.741127	7.238024	-1.228242	6.703382	1.284783	4.059083	3.314205	-1.949231
