7	2	4.960725	4.358143	4.049635	7.315069	-4.749365	6.371743	0.197058	6.848454	1.099389	5.956978
11	2	1.586640	6.025586	0.456647	6.427132	-2.057770	4.817996	1.472228	1.462947	6.039368	7.381868
12	2	7.067484	-6.507457	7.585655	0.219876	2.973210	2.000915	4.157961	2.522725	5.646648	-6.638444
13	2	8.572778	-6.345420	8.481505	4.339153	7.859448	4.187390	5.550395	2.704668	7.359390	-2.494364
14	2	9.362244	-6.646375	6.391621	1.064168	6.638163	6.214534	7.077962	0.132558	5.291956	-4.474837
19	2	4.042651	1.947479	2.842067	7.836824	-0.272407	7.503933	-3.788844	6.880920	2.940064	6.432271
20	2	0.046962	3.781162	3.832498	5.741457	-3.204309	6.222565	-0.465721	5.854068	1.135793	8.405571
23	2	6.612103	-1.197556	5.660392	3.089439	4.675269	6.465899	0.186378	5.441152	3.323477	-1.912961
27	2	3.879191	5.250646	-3.388777	9.666425	-5.301318	6.932031	0.465814	2.209693	3.809447	6.297910
28	2	5.916600	-6.416142	6.581807	2.109336	8.237938	-0.146539	6.476486	0.649016	8.729910	-1.545367
33	2	3.899433	10.414712	3.835471	4.947727	-2.393009	7.494364	-4.893277	8.986752	-1.664680	6.461468
37	2	-1.001672	6.384420	3.987650	5.508023	-7.180837	4.668864	-1.206926	7.027271	-0.764728	3.784720
38	2	0.789536	9.678459	1.096910	4.561882	-3.887633	6.794946	-0.417418	6.737677	-0.899171	6.762902
43	2	4.591670	4.423712	1.105253	8.530908	-2.936969	6.611240	-0.809256	6.961211	5.629879	7.040345
44	2	0.162382	8.585736	3.864259	6.812835	-4.677886	5.685196	-2.585127	8.284166	0.413562	6.828654
45	2	7.595796	-0.371502	3.744415	0.300980	0.625767	7.597630	-6.446269	3.748692	0.278558	6.950723
48	2	0.710768	8.777744	0.071041	6.534006	-7.191545	5.988112	-4.653877	6.464006	0.042117	5.621335
49	2	1.083024	11.626423	0.064453	3.045662	-6.708633	6.612074	-0.070605	6.666773	0.126820	6.411789
51	2	7.784515	-5.780026	9.344762	-0.085208	8.545229	2.487667	8.692092	2.898626	5.433273	-1.933332
52	2	6.993388	-4.809934	7.137121	0.632474	6.829657	6.136960	1.566529	6.614947	2.399041	1.743436
56	2	4.915890	0.292824	6.927511	1.098231	-0.446476	4.919677	-2.890915	7.028364	0.043440	6.324195
57	2	7.644116	-1.035907	9.037945	-0.613294	1.019614	7.791987	-2.891545	9.088188	-0.613296	4.979015
58	2	3.909199	5.628829	-0.626132	8.162180	-5.292113	6.749231	-8.096302	5.650544	3.121246	7.331354
60	2	2.546021	3.207496	0.427522	7.934952	0.414600	5.438409	-5.409467	2.383604	6.236370	7.724502
62	2	6.779012	-3.750700	8.336421	1.089380	6.953274	1.725101	9.828530	3.454275	5.152737	-3.665095
63	2	1.676600	4.773699	-1.176924	7.517360	-4.527885	7.671096	0.778226	2.535593	1.843325	8.361514
64	2	3.775008	4.576674	3.221312	7.186339	-6.914035	6.113810	-0.782359	9.391228	1.604688	5.263577
65	2	1.736628	8.777297	3.434289	4.014273	-5.233422	7.170508	-2.616327	7.487561	-1.499909	5.893490
