1	1	5.956579	3.792795	-6.160879	1.370409
3	1	4.688213	4.511300	-6.231243	-1.316137
5	1	7.590914	4.200768	-8.274343	2.535115
8	1	6.142587	3.421827	-8.417514	0.028826
10	1	2.750403	6.655540	-6.806528	1.730313
11	1	1.337961	-8.599835	6.696763	8.277709
13	1	1.806075	-5.915647	4.558080	8.343301
16	1	1.125125	-7.397798	8.096013	7.707055
19	1	4.692689	0.635349	5.961905	8.872563
20	1	6.163278	7.772474	-5.873738	-0.362148
22	1	2.740556	6.388155	-4.749617	0.082901
23	1	6.801904	0.885410	-4.628447	3.888180
24	1	2.997102	-3.017320	6.362099	7.325133
25	1	1.821708	-3.057141	6.098926	5.110370
27	1	6.523385	5.113107	-2.174330	-3.402481
34	1	5.380039	-2.579950	8.111901	2.905938
35	1	5.034648	6.508027	-4.267923	1.215126
39	1	-2.404323	-7.451389	7.000828	7.866710
44	1	1.760333	-5.367407	8.878962	9.061155
47	1	6.714240	3.276711	-5.246014	-0.342212
51	1	5.527872	4.548993	-4.005261	2.980709
56	1	2.534850	-2.062615	-1.607398	8.210822
59	1	1.721183	-5.613257	8.232424	6.253245
62	1	5.210564	-4.566798	6.286770	8.918434
63	1	1.432353	-7.071418	7.193783	7.114154
64	1	2.688346	-5.563073	6.255998	6.680779
70	1	8.538296	5.848817	-2.883416	-1.968523
71	1	5.732252	6.581424	-4.133667	1.236914
74	1	5.141545	-6.867601	7.488864	6.607604
76	1	6.506057	1.445074	6.826553	-0.785706
77	1	4.950731	-1.794333	8.496759	6.666512
81	1	6.356846	0.499446	6.715743	4.951511
82	1	6.322604	4.499332	-6.282542	0.417750
85	1	4.054347	-1.445567	9.294354	1.221273
87	1	-0.011005	-0.718113	-4.385242	6.422792
91	1	6.701658	5.024910	-8.963452	3.121440
93	1	3.377167	-7.138352	5.382173	6.969523
94	1	6.152449	3.763393	-7.273097	0.875570
96	1	5.409160	-0.595956	7.878768	5.302852
98	1	1.920261	-0.283896	7.034192	4.443195
99	1	5.397573	7.004523	-4.696465	-0.494471
100	1	7.597488	2.474818	-2.045081	2.256170
106	1	3.516543	-5.429766	8.270555	5.229891
107	1	5.876914	-0.587888	6.550574	2.077525
